[00:00:00.000 --> 00:00:03.720]  有的人比像我们说的做油资的多厉害
[00:35:11.000 --> 00:35:13.000]  怎么去弄的
[00:35:13.000 --> 00:35:15.000]  这个311之后的利息能不能买
[00:35:15.000 --> 00:35:17.000]  买的要求是什么
[00:35:17.000 --> 00:35:19.000]  就是这个思路来
[00:35:19.000 --> 00:35:25.000]  先画结构
[00:35:25.000 --> 00:35:27.000]  我们前几天有画的
[00:35:27.000 --> 00:35:29.000]  如果没有画的你就再加强一下
[00:35:29.000 --> 00:35:31.000]  把这几个功课做做
[00:35:31.000 --> 00:35:33.000]  就是怎么做趋势波段
[00:35:33.000 --> 00:35:35.000]  我现在就是一个什么感受呢
[00:35:35.000 --> 00:35:37.000]  老天爷要能让我看到
[00:35:37.000 --> 00:35:39.000]  这么周线漂亮的趋势波段
[00:35:39.000 --> 00:35:41.000]  就太幸福了
[00:35:41.000 --> 00:35:43.000]  我现在就是一个什么感受呢
[00:35:43.000 --> 00:35:45.000]  老天爷要能让我看到
[00:35:45.000 --> 00:35:47.000]  这么周线漂亮的趋势波段
[00:35:47.000 --> 00:35:49.000]  就太幸福了
[00:35:49.000 --> 00:35:51.000]  我现在就是一个什么感受呢
[00:35:51.000 --> 00:35:53.000]  老天爷要能让我看到
[00:35:53.000 --> 00:35:55.000]  这么周线漂亮的趋势波段
[00:35:55.000 --> 00:35:57.000]  就太幸福了
[00:35:57.000 --> 00:35:59.000]  我现在就是一个什么感受呢
[00:35:59.000 --> 00:36:01.000]  老天爷要能让我看到
[00:36:01.000 --> 00:36:03.000]  这么周线漂亮的趋势波段
[00:36:03.000 --> 00:36:05.000]  就太幸福了
[00:36:05.000 --> 00:36:11.000]  现在就是天天周线看
[00:36:11.000 --> 00:36:13.000]  眼睛都看花了
[00:36:13.000 --> 00:36:15.000]  也看不出
[00:36:15.000 --> 00:36:17.000]  但我们能量具备会有的
[00:36:17.000 --> 00:36:19.000]  自己只要有来
[00:36:19.000 --> 00:36:21.000]  往哪个方向去攻就会有的
[00:36:21.000 --> 00:36:23.000]  现在是什么样的方向呢
[00:36:23.000 --> 00:36:25.000]  现在是什么样的方向呢
[00:36:25.000 --> 00:36:27.000]  现在是什么样的方向呢
[00:36:27.000 --> 00:36:29.000]  现在是什么样的方向呢
[00:36:29.000 --> 00:36:31.000]  现在是什么样的方向呢
[00:36:31.000 --> 00:36:33.000]  现在是什么样的方向呢
[00:36:33.000 --> 00:36:35.000]  现在是什么样的方向呢
[00:36:35.000 --> 00:36:37.000]  现在是什么样的方向呢
[00:36:37.000 --> 00:36:39.000]  现在是什么样的方向呢
[00:36:39.000 --> 00:36:41.000]  现在是什么样的方向呢
[00:36:41.000 --> 00:36:43.000]  现在是什么样的方向呢
[00:36:43.000 --> 00:36:45.000]  现在是什么样的方向呢
[00:36:45.000 --> 00:36:47.000]  现在是什么样的方向呢
[00:36:47.000 --> 00:36:49.000]  现在是什么样的方向呢
[00:36:49.000 --> 00:36:51.000]  现在是什么样的方向呢
[00:36:51.000 --> 00:36:53.000]  现在是什么样的方向呢
[00:36:53.000 --> 00:36:55.000]  现在是什么样的方向呢
[00:36:55.000 --> 00:36:57.000]  现在是什么样的方向呢
[00:36:57.000 --> 00:36:59.000]  现在是什么样的方向呢
[00:36:59.000 --> 00:37:01.000]  现在是什么样的方向呢
[00:37:01.000 --> 00:37:03.000]  现在是什么样的方向呢
[00:37:03.000 --> 00:37:05.000]  现在是什么样的方向呢
[00:37:05.000 --> 00:37:07.000]  现在是什么样的方向呢
[00:37:07.000 --> 00:37:09.000]  现在是什么样的方向呢
[00:37:09.000 --> 00:37:11.000]  现在是什么样的方向呢
[00:37:11.000 --> 00:37:13.000]  现在是什么样的方向呢
[00:37:13.000 --> 00:37:15.000]  现在是什么样的方向呢
[00:37:15.000 --> 00:37:17.000]  现在是什么样的方向呢
[00:37:17.000 --> 00:37:19.000]  现在是什么样的方向呢
[00:37:19.000 --> 00:37:21.000]  现在是什么样的方向呢
[00:37:21.000 --> 00:37:23.000]  现在是什么样的方向呢
[00:37:23.000 --> 00:37:25.000]  现在是什么样的方向呢
[00:37:25.000 --> 00:37:27.000]  现在是什么样的方向呢
[00:37:27.000 --> 00:37:29.000]  现在是什么样的方向呢
[00:37:29.000 --> 00:37:31.000]  现在是什么样的方向呢
[00:37:31.000 --> 00:37:33.000]  现在是什么样的方向呢
[00:37:33.000 --> 00:37:35.000]  现在是什么样的方向呢
[00:37:35.000 --> 00:37:37.000]  现在是什么样的方向呢
[00:37:37.000 --> 00:37:39.000]  现在是什么样的方向呢
[00:37:39.000 --> 00:37:41.000]  现在是什么样的方向呢
[00:37:41.000 --> 00:37:43.000]  现在是什么样的方向呢
[00:37:43.000 --> 00:37:45.000]  现在是什么样的方向呢
[00:37:45.000 --> 00:37:47.000]  现在是什么样的方向呢
[00:37:47.000 --> 00:37:49.000]  现在是什么样的方向呢
[00:37:49.000 --> 00:37:51.000]  现在是什么样的方向呢
[00:37:51.000 --> 00:37:53.000]  现在是什么样的方向呢
[00:37:53.000 --> 00:37:55.000]  现在是什么样的方向呢
[00:37:55.000 --> 00:37:57.000]  现在是什么样的方向呢
[00:37:57.000 --> 00:37:59.000]  现在是什么样的方向呢
[00:37:59.000 --> 00:38:01.000]  现在是什么样的方向呢
[00:38:01.000 --> 00:38:03.000]  现在是什么样的方向呢
[00:38:03.000 --> 00:38:05.000]  现在是什么样的方向呢
[00:38:05.000 --> 00:38:07.000]  现在是什么样的方向呢
[00:38:07.000 --> 00:38:09.000]  现在是什么样的方向呢
[00:38:09.000 --> 00:38:11.000]  现在是什么样的方向呢
[00:38:11.000 --> 00:38:13.000]  现在是什么样的方向呢
[00:38:13.000 --> 00:38:15.000]  现在是什么样的方向呢
[00:38:15.000 --> 00:38:17.000]  现在是什么样的方向呢
[00:38:17.000 --> 00:38:19.000]  现在是什么样的方向呢
[00:38:19.000 --> 00:38:21.000]  现在是什么样的方向呢
[00:38:21.000 --> 00:38:23.000]  现在是什么样的方向呢
[00:38:23.000 --> 00:38:25.000]  现在是什么样的方向呢
[00:38:25.000 --> 00:38:27.000]  现在是什么样的方向呢
[00:38:27.000 --> 00:38:29.000]  现在是什么样的方向呢
[00:38:29.000 --> 00:38:31.000]  现在是什么样的方向呢
[00:38:31.000 --> 00:38:33.000]  现在是什么样的方向呢
[00:38:33.000 --> 00:38:35.000]  现在是什么样的方向呢
[00:38:35.000 --> 00:38:37.000]  现在是什么样的方向呢
[00:38:37.000 --> 00:38:39.000]  现在是什么样的方向呢
[00:38:39.000 --> 00:38:41.000]  现在是什么样的方向呢
[00:38:41.000 --> 00:38:43.000]  现在是什么样的方向呢
[00:38:43.000 --> 00:38:45.000]  现在是什么样的方向呢
[00:38:45.000 --> 00:38:47.000]  现在是什么样的方向呢
[00:38:47.000 --> 00:38:49.000]  现在是什么样的方向呢
[00:38:49.000 --> 00:38:51.000]  现在是什么样的方向呢
[00:38:51.000 --> 00:38:53.000]  现在是什么样的方向呢
[00:38:53.000 --> 00:38:55.000]  现在是什么样的方向呢
[00:38:55.000 --> 00:38:57.000]  现在是什么样的方向呢
[00:38:57.000 --> 00:38:59.000]  现在是什么样的方向呢
[00:38:59.000 --> 00:39:01.000]  现在是什么样的方向呢
[00:39:01.000 --> 00:39:03.000]  现在是什么样的方向呢
[00:39:03.000 --> 00:39:05.000]  现在是什么样的方向呢
[00:39:05.000 --> 00:39:07.000]  现在是什么样的方向呢
[00:39:07.000 --> 00:39:09.000]  现在是什么样的方向呢
[00:39:09.000 --> 00:39:11.000]  现在是什么样的方向呢
[00:39:11.000 --> 00:39:13.000]  现在是什么样的方向呢
[00:39:13.000 --> 00:39:15.000]  现在是什么样的方向呢
[00:39:15.000 --> 00:39:17.000]  现在是什么样的方向呢
[00:39:17.000 --> 00:39:19.000]  现在是什么样的方向呢
[00:39:19.000 --> 00:39:21.000]  现在是什么样的方向呢
[00:39:21.000 --> 00:39:23.000]  现在是什么样的方向呢
[00:39:23.000 --> 00:39:25.000]  现在是什么样的方向呢
[00:39:25.000 --> 00:39:27.000]  现在是什么样的方向呢
[00:39:27.000 --> 00:39:29.000]  现在是什么样的方向呢
[00:39:29.000 --> 00:39:31.000]  现在是什么样的方向呢
[00:39:31.000 --> 00:39:33.000]  现在是什么样的方向呢
[00:39:33.000 --> 00:39:35.000]  现在是什么样的方向呢
[00:39:35.000 --> 00:39:37.000]  现在是什么样的方向呢
[00:39:37.000 --> 00:39:39.000]  现在是什么样的方向呢
[00:39:39.000 --> 00:39:41.000]  现在是什么样的方向呢
[00:39:41.000 --> 00:39:43.000]  现在是什么样的方向呢
[00:39:43.000 --> 00:39:45.000]  现在是什么样的方向呢
[00:39:45.000 --> 00:39:47.000]  现在是什么样的方向呢
[00:39:47.000 --> 00:39:49.000]  现在是什么样的方向呢
[00:39:49.000 --> 00:39:51.000]  现在是什么样的方向呢
[00:39:51.000 --> 00:39:53.000]  现在是什么样的方向呢
[00:39:53.000 --> 00:39:55.000]  现在是什么样的方向呢
[00:39:55.000 --> 00:39:57.000]  现在是什么样的方向呢
[00:39:57.000 --> 00:39:59.000]  现在是什么样的方向呢
[00:39:59.000 --> 00:40:01.000]  现在是什么样的方向呢
[00:40:01.000 --> 00:40:03.000]  现在是什么样的方向呢
[00:40:03.000 --> 00:40:05.000]  现在是什么样的方向呢
[00:40:05.000 --> 00:40:07.000]  现在是什么样的方向呢
[00:40:07.000 --> 00:40:09.000]  现在是什么样的方向呢
[00:40:09.000 --> 00:40:11.000]  现在是什么样的方向呢
[00:40:11.000 --> 00:40:13.000]  现在是什么样的方向呢
[00:40:13.000 --> 00:40:15.000]  现在是什么样的方向呢
[00:40:15.000 --> 00:40:17.000]  现在是什么样的方向呢
[00:40:17.000 --> 00:40:19.000]  现在是什么样的方向呢
[00:40:19.000 --> 00:40:21.000]  现在是什么样的方向呢
[00:40:21.000 --> 00:40:23.000]  现在是什么样的方向呢
[00:40:23.000 --> 00:40:25.000]  现在是什么样的方向呢
[00:40:25.000 --> 00:40:27.000]  现在是什么样的方向呢
[00:40:27.000 --> 00:40:29.000]  现在是什么样的方向呢
[00:40:29.000 --> 00:40:31.000]  现在是什么样的方向呢
[00:40:31.000 --> 00:40:33.000]  现在是什么样的方向呢
[00:40:33.000 --> 00:40:35.000]  现在是什么样的方向呢
[00:40:35.000 --> 00:40:37.000]  现在是什么样的方向呢
[00:40:37.000 --> 00:40:39.000]  现在是什么样的方向呢
[00:40:39.000 --> 00:40:41.000]  现在是什么样的方向呢
[00:40:41.000 --> 00:40:43.000]  现在是什么样的方向呢
[00:40:43.000 --> 00:40:45.000]  现在是什么样的方向呢
[00:40:45.000 --> 00:40:47.000]  现在是什么样的方向呢
[00:40:47.000 --> 00:40:49.000]  现在是什么样的方向呢
[00:40:49.000 --> 00:40:51.000]  现在是什么样的方向呢
[00:40:51.000 --> 00:40:53.000]  现在是什么样的方向呢
[00:40:53.000 --> 00:40:55.000]  现在是什么样的方向呢
[00:40:55.000 --> 00:40:57.000]  现在是什么样的方向呢
[00:40:57.000 --> 00:40:59.000]  现在是什么样的方向呢
[00:40:59.000 --> 00:41:01.000]  现在是什么样的方向呢
[00:41:01.000 --> 00:41:03.000]  现在是什么样的方向呢
[00:41:03.000 --> 00:41:05.000]  现在是什么样的方向呢
[00:41:05.000 --> 00:41:07.000]  现在是什么样的方向呢
[00:41:07.000 --> 00:41:09.000]  现在是什么样的方向呢
[00:41:09.000 --> 00:41:11.000]  现在是什么样的方向呢
[00:41:11.000 --> 00:41:13.000]  现在是什么样的方向呢
[00:41:13.000 --> 00:41:15.000]  现在是什么样的方向呢
[00:41:15.000 --> 00:41:17.000]  现在是什么样的方向呢
[00:41:17.000 --> 00:41:19.000]  现在是什么样的方向呢
[00:41:19.000 --> 00:41:21.000]  现在是什么样的方向呢
[00:41:21.000 --> 00:41:23.000]  现在是什么样的方向呢
[00:41:23.000 --> 00:41:25.000]  现在是什么样的方向呢
[00:41:25.000 --> 00:41:27.000]  现在是什么样的方向呢
[00:41:27.000 --> 00:41:29.000]  现在是什么样的方向呢
[00:41:29.000 --> 00:41:31.000]  现在是什么样的方向呢
[00:41:31.000 --> 00:41:33.000]  现在是什么样的方向呢
[00:41:33.000 --> 00:41:35.000]  现在是什么样的方向呢
[00:41:35.000 --> 00:41:37.000]  现在是什么样的方向呢
[00:41:37.000 --> 00:41:39.000]  现在是什么样的方向呢
[00:41:39.000 --> 00:41:41.000]  现在是什么样的方向呢
[00:41:41.000 --> 00:41:43.000]  现在是什么样的方向呢
[00:41:43.000 --> 00:41:45.000]  现在是什么样的方向呢
[00:41:45.000 --> 00:41:47.000]  现在是什么样的方向呢
[00:41:47.000 --> 00:41:49.000]  现在是什么样的方向呢
[00:41:49.000 --> 00:41:51.000]  现在是什么样的方向呢
[00:41:51.000 --> 00:41:53.000]  现在是什么样的方向呢
[00:41:53.000 --> 00:41:55.000]  现在是什么样的方向呢
[00:41:55.000 --> 00:41:57.000]  现在是什么样的方向呢
[00:41:57.000 --> 00:41:59.000]  现在是什么样的方向呢
[00:41:59.000 --> 00:42:01.000]  现在是什么样的方向呢
[00:42:01.000 --> 00:42:03.000]  现在是什么样的方向呢
[00:42:03.000 --> 00:42:05.000]  现在是什么样的方向呢
[00:42:05.000 --> 00:42:07.000]  现在是什么样的方向呢
[00:42:07.000 --> 00:42:09.000]  现在是什么样的方向呢
[00:42:09.000 --> 00:42:11.000]  现在是什么样的方向呢
[00:42:11.000 --> 00:42:13.000]  现在是什么样的方向呢
[00:42:13.000 --> 00:42:15.000]  现在是什么样的方向呢
[00:42:15.000 --> 00:42:17.000]  现在是什么样的方向呢
[00:42:17.000 --> 00:42:19.000]  现在是什么样的方向呢
[00:42:19.000 --> 00:42:21.000]  现在是什么样的方向呢
[00:42:21.000 --> 00:42:23.000]  现在是什么样的方向呢
[00:42:23.000 --> 00:42:25.000]  现在是什么样的方向呢
[00:42:25.000 --> 00:42:27.000]  现在是什么样的方向呢
[00:42:27.000 --> 00:42:29.000]  现在是什么样的方向呢
[00:42:29.000 --> 00:42:31.000]  现在是什么样的方向呢
[00:42:31.000 --> 00:42:33.000]  现在是什么样的方向呢
[00:42:33.000 --> 00:42:35.000]  现在是什么样的方向呢
[00:42:35.000 --> 00:42:37.000]  现在是什么样的方向呢
[00:42:37.000 --> 00:42:39.000]  现在是什么样的方向呢
[00:42:39.000 --> 00:42:41.000]  现在是什么样的方向呢
[00:42:41.000 --> 00:42:43.000]  现在是什么样的方向呢
[00:42:43.000 --> 00:42:45.000]  现在是什么样的方向呢
[00:42:45.000 --> 00:42:47.000]  现在是什么样的方向呢
[00:42:47.000 --> 00:42:49.000]  现在是什么样的方向呢
[00:42:49.000 --> 00:42:51.000]  现在是什么样的方向呢
[00:42:51.000 --> 00:42:53.000]  现在是什么样的方向呢
[00:42:53.000 --> 00:42:55.000]  现在是什么样的方向呢
[00:42:55.000 --> 00:42:57.000]  现在是什么样的方向呢
[00:42:57.000 --> 00:42:59.000]  现在是什么样的方向呢
[00:42:59.000 --> 00:43:01.000]  现在是什么样的方向呢
[00:43:01.000 --> 00:43:03.000]  现在是什么样的方向呢
[00:43:03.000 --> 00:43:05.000]  现在是什么样的方向呢
[00:43:05.000 --> 00:43:07.000]  现在是什么样的方向呢
[00:43:07.000 --> 00:43:09.000]  现在是什么样的方向呢
[00:43:09.000 --> 00:43:11.000]  现在是什么样的方向呢
[00:43:11.000 --> 00:43:13.000]  现在是什么样的方向呢
[00:43:13.000 --> 00:43:15.000]  现在是什么样的方向呢
[00:43:15.000 --> 00:43:17.000]  现在是什么样的方向呢
[00:43:17.000 --> 00:43:19.000]  现在是什么样的方向呢
[00:43:19.000 --> 00:43:21.000]  现在是什么样的方向呢
[00:43:21.000 --> 00:43:23.000]  现在是什么样的方向呢
[00:43:23.000 --> 00:43:25.000]  现在是什么样的方向呢
[00:43:25.000 --> 00:43:27.000]  现在是什么样的方向呢
[00:43:27.000 --> 00:43:29.000]  现在是什么样的方向呢
[00:43:29.000 --> 00:43:31.000]  现在是什么样的方向呢
[00:43:31.000 --> 00:43:33.000]  现在是什么样的方向呢
[00:43:33.000 --> 00:43:35.000]  现在是什么样的方向呢
[00:43:35.000 --> 00:43:37.000]  现在是什么样的方向呢
[00:43:37.000 --> 00:43:39.000]  现在是什么样的方向呢
[00:43:39.000 --> 00:43:41.000]  现在是什么样的方向呢
[00:43:41.000 --> 00:43:43.000]  现在是什么样的方向呢
[00:43:43.000 --> 00:43:45.000]  现在是什么样的方向呢
[00:43:45.000 --> 00:43:47.000]  现在是什么样的方向呢
[00:43:47.000 --> 00:43:49.000]  现在是什么样的方向呢
[00:43:49.000 --> 00:43:51.000]  现在是什么样的方向呢
[00:43:51.000 --> 00:43:53.000]  现在是什么样的方向呢
[00:43:53.000 --> 00:43:55.000]  现在是什么样的方向呢
[00:43:55.000 --> 00:43:57.000]  现在是什么样的方向呢
[00:43:57.000 --> 00:43:59.000]  现在是什么样的方向呢
[00:43:59.000 --> 00:44:01.000]  现在是什么样的方向呢
[00:44:01.000 --> 00:44:03.000]  现在是什么样的方向呢
[00:44:03.000 --> 00:44:05.000]  现在是什么样的方向呢
[00:44:05.000 --> 00:44:07.000]  现在是什么样的方向呢
[00:44:07.000 --> 00:44:09.000]  现在是什么样的方向呢
[00:44:09.000 --> 00:44:11.000]  现在是什么样的方向呢
[00:44:11.000 --> 00:44:13.000]  现在是什么样的方向呢
[00:44:13.000 --> 00:44:15.000]  现在是什么样的方向呢
[00:44:15.000 --> 00:44:17.000]  现在是什么样的方向呢
[00:44:17.000 --> 00:44:19.000]  现在是什么样的方向呢
[00:44:19.000 --> 00:44:21.000]  现在是什么样的方向呢
[00:44:21.000 --> 00:44:23.000]  现在是什么样的方向呢
[00:44:23.000 --> 00:44:25.000]  现在是什么样的方向呢
[00:44:25.000 --> 00:44:27.000]  现在是什么样的方向呢
[00:44:27.000 --> 00:44:29.000]  现在是什么样的方向呢
[00:44:29.000 --> 00:44:31.000]  现在是什么样的方向呢
[00:44:31.000 --> 00:44:33.000]  现在是什么样的方向呢
[00:44:33.000 --> 00:44:35.000]  现在是什么样的方向呢
[00:44:35.000 --> 00:44:37.000]  现在是什么样的方向呢
[00:44:37.000 --> 00:44:39.000]  现在是什么样的方向呢
[00:44:39.000 --> 00:44:41.000]  现在是什么样的方向呢
[00:44:41.000 --> 00:44:43.000]  现在是什么样的方向呢
[00:44:43.000 --> 00:44:45.000]  现在是什么样的方向呢
[00:44:45.000 --> 00:44:47.000]  现在是什么样的方向呢
[00:44:47.000 --> 00:44:49.000]  现在是什么样的方向呢
[00:44:49.000 --> 00:44:51.000]  现在是什么样的方向呢
[00:44:51.000 --> 00:44:53.000]  现在是什么样的方向呢
[00:44:53.000 --> 00:44:55.000]  现在是什么样的方向呢
[00:44:55.000 --> 00:44:57.000]  现在是什么样的方向呢
[00:44:57.000 --> 00:44:59.000]  现在是什么样的方向呢
[00:44:59.000 --> 00:45:01.000]  现在是什么样的方向呢
[00:45:01.000 --> 00:45:03.000]  现在是什么样的方向呢
[00:45:03.000 --> 00:45:05.000]  现在是什么样的方向呢
[00:45:05.000 --> 00:45:07.000]  现在是什么样的方向呢
[00:45:07.000 --> 00:45:09.000]  现在是什么样的方向呢
[00:45:09.000 --> 00:45:11.000]  现在是什么样的方向呢
[00:45:11.000 --> 00:45:13.000]  现在是什么样的方向呢
[00:45:13.000 --> 00:45:15.000]  现在是什么样的方向呢
[00:45:15.000 --> 00:45:17.000]  现在是什么样的方向呢
[00:45:17.000 --> 00:45:19.000]  现在是什么样的方向呢
[00:45:19.000 --> 00:45:21.000]  现在是什么样的方向呢
[00:45:21.000 --> 00:45:23.000]  现在是什么样的方向呢
[00:45:23.000 --> 00:45:25.000]  现在是什么样的方向呢
[00:45:25.000 --> 00:45:27.000]  现在是什么样的方向呢
[00:45:27.000 --> 00:45:29.000]  现在是什么样的方向呢
[00:45:29.000 --> 00:45:31.000]  现在是什么样的方向呢
[00:45:31.000 --> 00:45:33.000]  现在是什么样的方向呢
[00:45:33.000 --> 00:45:35.000]  现在是什么样的方向呢
[00:45:35.000 --> 00:45:37.000]  现在是什么样的方向呢
[00:45:37.000 --> 00:45:39.000]  现在是什么样的方向呢
[00:45:39.000 --> 00:45:41.000]  现在是什么样的方向呢
[00:45:41.000 --> 00:45:43.000]  现在是什么样的方向呢
[00:45:43.000 --> 00:45:45.000]  现在是什么样的方向呢
[00:45:45.000 --> 00:45:47.000]  现在是什么样的方向呢
[00:45:47.000 --> 00:45:49.000]  现在是什么样的方向呢
[00:45:49.000 --> 00:45:51.000]  现在是什么样的方向呢
[00:45:51.000 --> 00:45:53.000]  现在是什么样的方向呢
[00:45:53.000 --> 00:45:55.000]  现在是什么样的方向呢
[00:45:55.000 --> 00:45:57.000]  现在是什么样的方向呢
[00:45:57.000 --> 00:45:59.000]  现在是什么样的方向呢
[00:45:59.000 --> 00:46:01.000]  现在是什么样的方向呢
[00:46:01.000 --> 00:46:03.000]  现在是什么样的方向呢
[00:46:03.000 --> 00:46:05.000]  现在是什么样的方向呢
[00:46:05.000 --> 00:46:07.000]  现在是什么样的方向呢
[00:46:07.000 --> 00:46:09.000]  现在是什么样的方向呢
[00:46:09.000 --> 00:46:11.000]  现在是什么样的方向呢
[00:46:11.000 --> 00:46:13.000]  现在是什么样的方向呢
[00:46:13.000 --> 00:46:15.000]  现在是什么样的方向呢
[00:46:15.000 --> 00:46:17.000]  现在是什么样的方向呢
[00:46:17.000 --> 00:46:19.000]  现在是什么样的方向呢
[00:46:19.000 --> 00:46:21.000]  现在是什么样的方向呢
[00:46:21.000 --> 00:46:23.000]  现在是什么样的方向呢
[00:46:23.000 --> 00:46:25.000]  现在是什么样的方向呢
[00:46:25.000 --> 00:46:27.000]  现在是什么样的方向呢
[00:46:27.000 --> 00:46:29.000]  现在是什么样的方向呢
[00:46:29.000 --> 00:46:31.000]  现在是什么样的方向呢
[00:46:31.000 --> 00:46:33.000]  现在是什么样的方向呢
[00:46:33.000 --> 00:46:35.000]  现在是什么样的方向呢
[00:46:35.000 --> 00:46:37.000]  现在是什么样的方向呢
[00:46:37.000 --> 00:46:39.000]  现在是什么样的方向呢
[00:46:39.000 --> 00:46:41.000]  现在是什么样的方向呢
[00:46:41.000 --> 00:46:43.000]  现在是什么样的方向呢
[00:46:43.000 --> 00:46:45.000]  现在是什么样的方向呢
[00:46:45.000 --> 00:46:47.000]  现在是什么样的方向呢
[00:46:47.000 --> 00:46:49.000]  现在是什么样的方向呢
[00:46:49.000 --> 00:46:51.000]  现在是什么样的方向呢
[00:46:51.000 --> 00:46:53.000]  现在是什么样的方向呢
[00:46:53.000 --> 00:46:55.000]  现在是什么样的方向呢
[00:46:55.000 --> 00:46:57.000]  现在是什么样的方向呢
[00:46:57.000 --> 00:46:59.000]  现在是什么样的方向呢
[00:46:59.000 --> 00:47:01.000]  现在是什么样的方向呢
[00:47:01.000 --> 00:47:03.000]  现在是什么样的方向呢
[00:47:03.000 --> 00:47:05.000]  现在是什么样的方向呢
[00:47:05.000 --> 00:47:07.000]  现在是什么样的方向呢
[00:47:07.000 --> 00:47:09.000]  现在是什么样的方向呢
[00:47:09.000 --> 00:47:11.000]  现在是什么样的方向呢
[00:47:11.000 --> 00:47:13.000]  现在是什么样的方向呢
[00:47:13.000 --> 00:47:15.000]  现在是什么样的方向呢
[00:47:15.000 --> 00:47:17.000]  现在是什么样的方向呢
[00:47:17.000 --> 00:47:19.000]  现在是什么样的方向呢
[00:47:19.000 --> 00:47:21.000]  现在是什么样的方向呢
[00:47:21.000 --> 00:47:23.000]  现在是什么样的方向呢
[00:47:23.000 --> 00:47:25.000]  现在是什么样的方向呢
[00:47:25.000 --> 00:47:27.000]  现在是什么样的方向呢
[00:47:27.000 --> 00:47:29.000]  现在是什么样的方向呢
[00:47:29.000 --> 00:47:31.000]  现在是什么样的方向呢
[00:47:31.000 --> 00:47:33.000]  现在是什么样的方向呢
[00:47:33.000 --> 00:47:35.000]  现在是什么样的方向呢
[00:47:35.000 --> 00:47:37.000]  现在是什么样的方向呢
[00:47:37.000 --> 00:47:39.000]  现在是什么样的方向呢
[00:47:39.000 --> 00:47:41.000]  现在是什么样的方向呢
[00:47:41.000 --> 00:47:43.000]  现在是什么样的方向呢
[00:47:43.000 --> 00:47:45.000]  现在是什么样的方向呢
[00:47:45.000 --> 00:47:47.000]  现在是什么样的方向呢
[00:47:47.000 --> 00:47:49.000]  现在是什么样的方向呢
[00:47:49.000 --> 00:47:51.000]  现在是什么样的方向呢
[00:47:51.000 --> 00:47:53.000]  现在是什么样的方向呢
[00:47:53.000 --> 00:47:55.000]  现在是什么样的方向呢
[00:47:55.000 --> 00:47:57.000]  现在是什么样的方向呢
[00:47:57.000 --> 00:47:59.000]  现在是什么样的方向呢
[00:47:59.000 --> 00:48:01.000]  现在是什么样的方向呢
[00:48:01.000 --> 00:48:03.000]  现在是什么样的方向呢
[00:48:03.000 --> 00:48:05.000]  现在是什么样的方向呢
[00:48:05.000 --> 00:48:07.000]  现在是什么样的方向呢
[00:48:07.000 --> 00:48:09.000]  现在是什么样的方向呢
[00:48:09.000 --> 00:48:11.000]  现在是什么样的方向呢
[00:48:11.000 --> 00:48:13.000]  现在是什么样的方向呢
[00:48:13.000 --> 00:48:15.000]  现在是什么样的方向呢
[00:48:15.000 --> 00:48:17.000]  现在是什么样的方向呢
[00:48:17.000 --> 00:48:19.000]  现在是什么样的方向呢
[00:48:19.000 --> 00:48:21.000]  现在是什么样的方向呢
[00:48:21.000 --> 00:48:23.000]  现在是什么样的方向呢
[00:48:23.000 --> 00:48:25.000]  现在是什么样的方向呢
[00:48:25.000 --> 00:48:27.000]  现在是什么样的方向呢
[00:48:27.000 --> 00:48:29.000]  现在是什么样的方向呢
[00:48:29.000 --> 00:48:31.000]  现在是什么样的方向呢
[00:48:31.000 --> 00:48:33.000]  现在是什么样的方向呢
[00:48:33.000 --> 00:48:35.000]  现在是什么样的方向呢
[00:48:35.000 --> 00:48:37.000]  现在是什么样的方向呢
[00:48:37.000 --> 00:48:39.000]  现在是什么样的方向呢
[00:48:39.000 --> 00:48:41.000]  现在是什么样的方向呢
[00:48:41.000 --> 00:48:43.000]  现在是什么样的方向呢
[00:48:43.000 --> 00:48:45.000]  现在是什么样的方向呢
[00:48:45.000 --> 00:48:47.000]  现在是什么样的方向呢
[00:48:47.000 --> 00:48:49.000]  现在是什么样的方向呢
[00:48:49.000 --> 00:48:51.000]  现在是什么样的方向呢
[00:48:51.000 --> 00:48:53.000]  现在是什么样的方向呢
[00:48:53.000 --> 00:48:55.000]  现在是什么样的方向呢
[00:48:55.000 --> 00:48:57.000]  现在是什么样的方向呢
[00:48:57.000 --> 00:48:59.000]  现在是什么样的方向呢
[00:48:59.000 --> 00:49:01.000]  现在是什么样的方向呢
[00:49:01.000 --> 00:49:03.000]  现在是什么样的方向呢
[00:49:03.000 --> 00:49:05.000]  现在是什么样的方向呢
[00:49:05.000 --> 00:49:07.000]  现在是什么样的方向呢
[00:49:07.000 --> 00:49:09.000]  现在是什么样的方向呢
[00:49:09.000 --> 00:49:11.000]  现在是什么样的方向呢
[00:49:11.000 --> 00:49:13.000]  现在是什么样的方向呢
[00:49:13.000 --> 00:49:15.000]  现在是什么样的方向呢
[00:49:15.000 --> 00:49:17.000]  现在是什么样的方向呢
[00:49:17.000 --> 00:49:19.000]  现在是什么样的方向呢
[00:49:19.000 --> 00:49:21.000]  现在是什么样的方向呢
[00:49:21.000 --> 00:49:23.000]  现在是什么样的方向呢
[00:49:23.000 --> 00:49:25.000]  现在是什么样的方向呢
[00:49:25.000 --> 00:49:27.000]  现在是什么样的方向呢
