[00:00:00.000 --> 00:00:02.500]  还怕啥 机会肯定是多于风险的
[00:50:39.600 --> 00:50:41.600]  这是我要的第一点第二点
[00:50:41.600 --> 00:50:43.600]  首先不亏
[00:50:43.600 --> 00:50:45.600]  这是他跟我讲的
[00:50:45.600 --> 00:50:47.600]  首先第一点你得确保你
[00:50:47.600 --> 00:50:49.600]  买进去不会亏钱
[00:50:49.600 --> 00:50:51.600]  如果你自己没有这种预期判断
[00:50:51.600 --> 00:50:53.600]  你就不要买
[00:50:53.600 --> 00:50:55.600]  这是他跟我讲的第二条
[00:50:55.600 --> 00:50:57.600]  第一是心态应该放低 预期放低
[00:50:57.600 --> 00:50:59.600]  但是这个放低不是说
[00:50:59.600 --> 00:51:01.600]  因为我们都是非常按照技术摇出来的
[00:51:01.600 --> 00:51:03.600]  包括对盘面判断的东西都是很强的
[00:51:03.600 --> 00:51:05.600]  所以预期降低不是说
[00:51:05.600 --> 00:51:07.600]  我们说那种就心态上的
[00:51:07.600 --> 00:51:09.600]  第二点就是
[00:51:09.600 --> 00:51:11.600]  首先保证不要亏钱
[00:51:11.600 --> 00:51:13.600]  你不亏钱你赚的不加的
[00:51:13.600 --> 00:51:15.600]  我都是赚 这是第二点
[00:51:15.600 --> 00:51:17.600]  第三点他就跟我聊到关于
[00:51:17.600 --> 00:51:19.600]  三五八
[00:51:19.600 --> 00:51:21.600]  什么叫三五八呢
[00:51:21.600 --> 00:51:23.600]  这个就是跟着我们行情集结的
[00:51:23.600 --> 00:51:25.600]  机会来的
[00:51:25.600 --> 00:51:27.600]  像我们所说的
[00:51:27.600 --> 00:51:29.600]  又没有中长期
[00:51:29.600 --> 00:51:31.600]  我自己现在也是属于
[00:51:31.600 --> 00:51:33.600]  几八一部分资金在这个里面
[00:51:33.600 --> 00:51:35.600]  短线都没有啊
[00:51:35.600 --> 00:51:37.600]  然后就是属于我短线这部分的资金
[00:51:37.600 --> 00:51:39.600]  不是我所有的资金
[00:51:39.600 --> 00:51:41.600]  那么三五八你们怎么分呢
[00:51:41.600 --> 00:51:43.600]  或者这里是二 对吧
[00:51:43.600 --> 00:51:45.600]  这根据自己来 他说的是三五八
[00:51:45.600 --> 00:51:47.600]  如果我们又看不到中长期
[00:51:47.600 --> 00:51:49.600]  又看不到中期
[00:51:49.600 --> 00:51:51.600]  就只有小短线对不对
[00:51:51.600 --> 00:51:53.600]  那么短线你就是三成
[00:51:53.600 --> 00:51:55.600]  但是你不要超过两成
[00:51:55.600 --> 00:51:57.600]  说白了就是必须提高你的精准度
[00:51:57.600 --> 00:51:59.600]  你本身比如说
[00:51:59.600 --> 00:52:01.600]  这个方向的资金
[00:52:01.600 --> 00:52:03.600]  假设你是一百万
[00:52:03.600 --> 00:52:05.600]  总共就来了二十万到三十万在做
[00:52:05.600 --> 00:52:07.600]  你还分两三个股票那你赚啥钱
[00:52:07.600 --> 00:52:09.600]  那你还不不做了 对吧
[00:52:09.600 --> 00:52:11.600]  那你就一定要找到集中
[00:52:11.600 --> 00:52:13.600]  不要超过两个 甚至你就一个
[00:52:13.600 --> 00:52:15.600]  甚至你就一个
[00:52:15.600 --> 00:52:17.600]  最多不要超过两个
[00:52:17.600 --> 00:52:19.600]  为什么说这样子说呢
[00:52:19.600 --> 00:52:21.600]  但是他这个里面他给我的建议
[00:52:21.600 --> 00:52:23.600]  我是不加螺丝盘的
[00:52:23.600 --> 00:52:25.600]  他是给我的建议是加螺丝盘的
[00:52:25.600 --> 00:52:27.600]  但螺丝盘不是用来做买的
[00:52:27.600 --> 00:52:29.600]  螺丝盘是不做隔夜的
[00:52:29.600 --> 00:52:31.600]  不做隔夜待就是没有利息的嘛
[00:52:31.600 --> 00:52:33.600]  他的目的就是当他做的不太累的时候
[00:52:33.600 --> 00:52:35.600]  他通过日内差价来降低成本
[00:52:35.600 --> 00:52:37.600]  我没有这个降成本的本事
[00:52:37.600 --> 00:52:39.600]  我就是一囊头鸡一囊头猪
[00:52:39.600 --> 00:52:41.600]  这是我的目的 我是这样子的
[00:52:41.600 --> 00:52:43.600]  所以他就是这个方向没有中长期没有中期
[00:52:43.600 --> 00:52:45.600]  就是三成的短线
[00:52:45.600 --> 00:52:47.600]  不超过两个票
[00:52:47.600 --> 00:52:49.600]  而且按他的他最近现在
[00:52:49.600 --> 00:52:51.600]  因为我们有好长时间没交流
[00:52:51.600 --> 00:52:53.600]  前几天我都来聊起来
[00:52:53.600 --> 00:52:55.600]  他现在现在就一个
[00:52:55.600 --> 00:52:57.600]  除了正单之后的另外一个
[00:52:57.600 --> 00:52:59.600]  四个板的那个
[00:52:59.600 --> 00:53:01.600]  那个是什么 爆谷谷
[00:53:01.600 --> 00:53:03.600]  也是他选出来的
[00:53:03.600 --> 00:53:05.600]  百川 百川选出来
[00:53:05.600 --> 00:53:07.600]  之后差不多五六天
[00:53:07.600 --> 00:53:09.600]  后面就又继续反风
[00:53:09.600 --> 00:53:11.600]  就是那个板出来的选出来的
[00:53:11.600 --> 00:53:13.600]  他看你们的眼光确实
[00:53:13.600 --> 00:53:15.600]  就是我们说的强者思维
[00:53:15.600 --> 00:53:17.600]  然后这是一点就是大家明白了
[00:53:17.600 --> 00:53:19.600]  我们现在是处什么环境
[00:53:19.600 --> 00:53:21.600]  根据这个来的 如果说有
[00:53:21.600 --> 00:53:23.600]  中期 有中长期
[00:53:23.600 --> 00:53:25.600]  没有中长期 但今天只是中期的话
[00:53:25.600 --> 00:53:27.600]  他一般是五成
[00:53:27.600 --> 00:53:29.600]  的仓位 如果说能够达到
[00:53:29.600 --> 00:53:31.600]  中长期的话 一定他才会考虑
[00:53:31.600 --> 00:53:33.600]  八成仓或满仓
[00:53:33.600 --> 00:53:35.600]  他的一个就是仓位管理
[00:53:35.600 --> 00:53:37.600]  其实跟我之前跟他分起来
[00:53:37.600 --> 00:53:39.600]  差不多 我们可以借鉴一下
[00:53:39.600 --> 00:53:41.600]  我现在也是一样的 我现在分两个状态
[00:53:41.600 --> 00:53:43.600]  一个就是只做短线
[00:53:43.600 --> 00:53:45.600]  负力 一个就是
[00:53:45.600 --> 00:53:47.600]  拿趋势的 拿趋势的不死
[00:53:47.600 --> 00:53:49.600]  反正不动
[00:53:49.600 --> 00:53:51.600]  达到预期目标再出来
[00:53:51.600 --> 00:53:53.600]  反正我就看你预先的趋势多好
[00:53:53.600 --> 00:53:55.600]  因为你预先的趋势多得不死 我就不动
[00:53:55.600 --> 00:53:57.600]  扛就扛 这就属于这个
[00:53:57.600 --> 00:53:59.600]  因为你做趋势你就必须得有
[00:53:59.600 --> 00:54:01.600]  足够的时间给到他 做短线
[00:54:01.600 --> 00:54:03.600]  就天天看着看着 其实在热点里面
[00:54:03.600 --> 00:54:05.600]  做一些小波段 小短线
[00:54:05.600 --> 00:54:07.600]  就是关于仓位的管理
[00:54:07.600 --> 00:54:09.600]  那回到我们所讲的
[00:54:09.600 --> 00:54:11.600]  这个选股的话
[00:54:11.600 --> 00:54:13.600]  你听什么 资金预量形态不足
[00:54:13.600 --> 00:54:15.600]  要资金强税 就是我们说的领头式的
[00:54:15.600 --> 00:54:17.600]  这个大家借鉴一下
[00:54:17.600 --> 00:54:19.600]  关于仓位管理 但刚才他所讲的
[00:54:19.600 --> 00:54:21.600]  首先你买股票已经保证自己不亏
[00:54:21.600 --> 00:54:23.600]  我希望大家也好好记啊 好好
[00:54:23.600 --> 00:54:25.600]  记在心里 趋势代表时机
[00:54:25.600 --> 00:54:27.600]  板块用来折股
[00:54:27.600 --> 00:54:29.600]  那折股的过程
[00:54:29.600 --> 00:54:31.600]  资金技术政策消息 对吧
[00:54:31.600 --> 00:54:33.600]  资金的图形是属于座盘的呈现
[00:54:33.600 --> 00:54:35.600]  那么座盘的呈现呢
[00:54:35.600 --> 00:54:37.600]  体现在主力的态度上
[00:54:37.600 --> 00:54:39.600]  就是高度和宽度
[00:54:39.600 --> 00:54:41.600]  高度就是量的高度
[00:54:41.600 --> 00:54:45.600]  成交量的高度
[00:54:45.600 --> 00:54:47.600]  大家可以看一下万逢奥威
[00:54:47.600 --> 00:54:49.600]  他那个周阳线
[00:54:49.600 --> 00:54:51.600]  就我说我选出那个周阳线
[00:54:51.600 --> 00:54:53.600]  就是那个量的高度够漂亮
[00:54:53.600 --> 00:54:55.600]  量的高度够漂亮
[00:54:55.600 --> 00:54:59.600]  那么布局的话就是波段式区域买
[00:54:59.600 --> 00:55:01.600]  短线是K线拐点买
[00:55:01.600 --> 00:55:03.600]  买点我也先不跟他讲
[00:55:03.600 --> 00:55:05.600]  反正大家知道的 我们先
[00:55:05.600 --> 00:55:07.600]  今天把势搞明白
[00:55:07.600 --> 00:55:09.600]  把结构弄明白
[00:55:09.600 --> 00:55:11.600]  就差不多了
[00:55:11.600 --> 00:55:13.600]  然后持仓原则
[00:55:13.600 --> 00:55:15.600]  对吧 持仓原则怎么拿住它
[00:55:15.600 --> 00:55:17.600]  我们也说到了趋势
[00:55:17.600 --> 00:55:19.600]  供上行的过程中 以势为主
[00:55:19.600 --> 00:55:21.600]  获利只赢 不符合预期止损
[00:55:21.600 --> 00:55:25.600]  量价博弈基本功
[00:55:25.600 --> 00:55:27.600]  好 我们
[00:55:27.600 --> 00:55:29.600]  前面的话就展开到这里了
[00:55:29.600 --> 00:55:31.600]  关于趋势这个环节就展开到这里了
[00:55:31.600 --> 00:55:33.600]  接下来我们就回到
[00:55:33.600 --> 00:55:35.600]  这个环节 我稍后给大家讲讲
[00:55:35.600 --> 00:55:37.600]  因为对于做波段而言
[00:55:37.600 --> 00:55:39.600]  这个环节很重要
[00:55:39.600 --> 00:55:41.600]  但是做短线而言
[00:55:41.600 --> 00:55:43.600]  它没有那么重要
[00:55:43.600 --> 00:55:45.600]  相比而言没有那么重要
[00:55:47.600 --> 00:55:49.600]  波段理论的
[00:55:49.600 --> 00:55:51.600]  稍后等一下
[00:55:51.600 --> 00:55:53.600]  我用这张图
[00:55:53.600 --> 00:55:55.600]  我用大家稍后再理解一下
[00:55:55.600 --> 00:55:57.600]  做点功课
[00:55:57.600 --> 00:55:59.600]  第一张图
[00:55:59.600 --> 00:56:01.600]  第一张图把你
[00:56:01.600 --> 00:56:03.600]  对趋势的变化
[00:56:03.600 --> 00:56:05.600]  什么时候真正
[00:56:05.600 --> 00:56:07.600]  转多的那个区域画一下
[00:56:07.600 --> 00:56:09.600]  什么时候转过去
[00:56:09.600 --> 00:56:11.600]  是转多的那个 由空转多
[00:56:11.600 --> 00:56:13.600]  真正转多的
[00:56:13.600 --> 00:56:15.600]  画一下
[00:56:15.600 --> 00:56:17.600]  第二张图也是一样的
[00:56:17.600 --> 00:56:19.600]  就画第一张第二张图就好了
[00:56:19.600 --> 00:56:21.600]  然后我要来看一下大家的理解
[00:56:21.600 --> 00:56:27.600]  真正转多最好是那根K线都给我标出来
[00:56:27.600 --> 00:56:29.600]  不要标一个区域
[00:56:29.600 --> 00:56:31.600]  陈姐有没有
[00:56:31.600 --> 00:56:33.600]  那个区域
[00:56:33.600 --> 00:56:35.600]  不能光标那个区域
[00:56:35.600 --> 00:56:37.600]  那个区域
[00:56:37.600 --> 00:56:39.600]  你们那个关键K线都要标出来
[00:56:43.600 --> 00:56:45.600]  现在这个理解力
[00:56:45.600 --> 00:56:47.600]  (不懂)
[00:56:47.600 --> 00:56:49.600]  (不懂)
[00:56:49.600 --> 00:56:51.600]  (不懂)
[00:57:17.600 --> 00:57:19.600]  不要好了 给我看
[00:57:19.600 --> 00:57:21.600]  不要好了就举手 我来看
[00:57:21.600 --> 00:57:27.600]  太晚了
[00:57:27.600 --> 00:57:29.600]  重新找
[00:57:29.600 --> 00:57:31.600]  太晚了
[00:57:31.600 --> 00:57:33.600]  因为这样的话你给我比较吃力
[00:57:33.600 --> 00:57:35.600]  对 这个区域
[00:57:35.600 --> 00:57:39.600]  对 这个区域是
[00:57:39.600 --> 00:57:41.600]  这个地方
[00:57:41.600 --> 00:57:43.600]  这个是对的
[00:57:43.600 --> 00:57:45.600]  再找找
[00:57:45.600 --> 00:57:47.600]  找一点
[00:57:47.600 --> 00:57:49.600]  找一点
[00:57:49.600 --> 00:57:51.600]  我看你第一个找的哪
[00:57:51.600 --> 00:57:53.600]  找的是这
[00:57:53.600 --> 00:57:55.600]  但是它没有包
[00:57:55.600 --> 00:57:57.600]  它这个什么
[00:57:57.600 --> 00:57:59.600]  它这几个
[00:57:59.600 --> 00:58:01.600]  经常下上来
[00:58:01.600 --> 00:58:03.600]  所有这些都经常下上来
[00:58:03.600 --> 00:58:05.600]  那就是这个
[00:58:05.600 --> 00:58:07.600]  这个或者这个
[00:58:07.600 --> 00:58:09.600]  这两个
[00:58:09.600 --> 00:58:11.600]  这个
[00:58:11.600 --> 00:58:13.600]  这个也是
[00:58:13.600 --> 00:58:15.600]  对
[00:58:15.600 --> 00:58:17.600]  对
[00:58:17.600 --> 00:58:21.600]  这个好找
[00:58:21.600 --> 00:58:23.600]  这个就确定了
[00:58:23.600 --> 00:58:25.600]  这个很明显
[00:58:25.600 --> 00:58:31.600]  这个K线
[00:58:31.600 --> 00:58:33.600]  有点小 但好看
[00:58:33.600 --> 00:58:35.600]  因为它是中线
[00:58:35.600 --> 00:58:37.600]  到时候
[00:58:37.600 --> 00:58:39.600]  出现这种情况
[00:58:39.600 --> 00:58:41.600]  放大了看
[00:58:41.600 --> 00:58:43.600]  是在上面
[00:58:43.600 --> 00:58:45.600]  在体质界
[00:58:45.600 --> 00:58:55.600]  这个吧 这种看
[00:58:55.600 --> 00:58:57.600]  有了后边了 确实是
[00:58:57.600 --> 00:58:59.600]  你看就很明显
[00:58:59.600 --> 00:59:01.600]  你要没有后边的时候
[00:59:01.600 --> 00:59:03.600]  是
[00:59:03.600 --> 00:59:05.600]  这个吧
[00:59:05.600 --> 00:59:07.600]  这个比较
[00:59:07.600 --> 00:59:09.600]  就这个
[00:59:09.600 --> 00:59:11.600]  这后边一个蛮多的
[00:59:11.600 --> 00:59:13.600]  要没有后边
[00:59:13.600 --> 00:59:15.600]  你看看这个
[00:59:15.600 --> 00:59:17.600]  还是比较多
[00:59:17.600 --> 00:59:23.600]  这个不过可以看一下日显
[00:59:23.600 --> 00:59:25.600]  可以看一下日显
[00:59:25.600 --> 00:59:29.600]  这个在哪几个
[00:59:29.600 --> 00:59:31.600]  我第一个
[00:59:31.600 --> 00:59:33.600]  我也只找了一个
[00:59:33.600 --> 00:59:35.600]  这个
[00:59:35.600 --> 00:59:37.600]  因为后边你确实没有变
[00:59:37.600 --> 00:59:39.600]  后边你确实是
[00:59:39.600 --> 00:59:41.600]  还是在
[00:59:41.600 --> 00:59:43.600]  前面两个
[00:59:43.600 --> 00:59:45.600]  这个
[00:59:45.600 --> 00:59:47.600]  你这是
[00:59:47.600 --> 00:59:49.600]  真正短
[00:59:49.600 --> 00:59:51.600]  为什么前面
[00:59:51.600 --> 00:59:53.600]  前面还有
[00:59:53.600 --> 00:59:55.600]  前面还有
[00:59:55.600 --> 00:59:57.600]  没有
[00:59:57.600 --> 00:59:59.600]  我想看看
[00:59:59.600 --> 01:00:01.600]  就是我说这个主体不要没有看
[01:00:01.600 --> 01:00:03.600]  因为它是这里吧
[01:00:03.600 --> 01:00:05.600]  这前面还有个
[01:00:05.600 --> 01:00:07.600]  这里
[01:00:07.600 --> 01:00:09.600]  这里还有个
[01:00:09.600 --> 01:00:11.600]  前面还有没有
[01:00:11.600 --> 01:00:13.600]  你怎么知道你感觉
[01:00:13.600 --> 01:00:15.600]  这个是在什么位置
[01:00:15.600 --> 01:00:17.600]  不是 你看它完了
[01:00:17.600 --> 01:00:19.600]  这个是在哪
[01:00:19.600 --> 01:00:21.600]  这个是在哪
[01:00:21.600 --> 01:00:23.600]  它就是往这
[01:00:23.600 --> 01:00:25.600]  这个不是在这
[01:00:25.600 --> 01:00:27.600]  这个不是在哪
[01:00:27.600 --> 01:00:29.600]  前面的
[01:00:29.600 --> 01:00:31.600]  这不是有了吗
[01:00:31.600 --> 01:00:33.600]  前面的就像这个
[01:00:33.600 --> 01:00:35.600]  我感觉它在那前面
[01:00:35.600 --> 01:00:37.600]  它在那前面
[01:00:37.600 --> 01:00:39.600]  我拿了个前面
[01:00:39.600 --> 01:00:41.600]  因为它是要画一下
[01:00:41.600 --> 01:00:43.600]  用这个画画
[01:00:43.600 --> 01:00:45.600]  我怕画错了
[01:00:45.600 --> 01:00:47.600]  所以大家就看了那边一点
[01:00:47.600 --> 01:00:49.600]  它说前面还有
[01:00:49.600 --> 01:00:51.600]  不知道这是什么
[01:00:51.600 --> 01:00:53.600]  前面这个我觉得就不算
[01:00:53.600 --> 01:00:55.600]  不算
[01:00:55.600 --> 01:00:57.600]  我觉得
[01:00:57.600 --> 01:00:59.600]  我感觉这个要算
[01:00:59.600 --> 01:01:01.600]  你看这个就上来了
[01:01:01.600 --> 01:01:03.600]  这个阳线包了这个阴线
[01:01:03.600 --> 01:01:05.600]  这个是吧
[01:01:05.600 --> 01:01:07.600]  不是这个
[01:01:07.600 --> 01:01:09.600]  你说的是这个是吧
[01:01:09.600 --> 01:01:11.600]  这个还蛮那个的
[01:01:11.600 --> 01:01:13.600]  它的三个线都过了
[01:01:13.600 --> 01:01:15.600]  而且它整个都这样子上去了
[01:01:15.600 --> 01:01:17.600]  我感觉是
[01:01:17.600 --> 01:01:25.600]  确认进入脱口
[01:01:25.600 --> 01:01:27.600]  应该是20度线摆头向上那个
[01:01:27.600 --> 01:01:29.600]  对
[01:01:29.600 --> 01:01:31.600]  应该是那个
[01:01:31.600 --> 01:01:33.600]  如果是那个的话
[01:01:33.600 --> 01:01:35.600]  那就是这个
[01:01:35.600 --> 01:01:37.600]  这个和这个
[01:01:37.600 --> 01:01:39.600]  这个
[01:01:39.600 --> 01:01:41.600]  这个
[01:01:41.600 --> 01:01:45.600]  这个但是至少你今天买进去也不亏
[01:01:45.600 --> 01:01:47.600]  是吧
[01:01:47.600 --> 01:01:51.600]  但是这个要买的话
[01:01:51.600 --> 01:01:53.600]  这个还没有的
[01:01:53.600 --> 01:01:55.600]  第二张不最明显
[01:01:55.600 --> 01:01:57.600]  这个应该是可以的
[01:01:57.600 --> 01:01:59.600]  这个线应该是符合的
[01:01:59.600 --> 01:02:01.600]  对 我觉得是应该的
[01:02:01.600 --> 01:02:03.600]  你说是这个是吧
[01:02:03.600 --> 01:02:05.600]  这个是符合的
[01:02:05.600 --> 01:02:07.600]  这个也符合
[01:02:07.600 --> 01:02:09.600]  这个我是第一根线学的
[01:02:09.600 --> 01:02:11.600]  它会抬往前面我就找到这个
[01:02:11.600 --> 01:02:17.600]  反正有个小波浪嘛
[01:02:17.600 --> 01:02:19.600]  这个
[01:02:19.600 --> 01:02:21.600]  你看这个它就往下撑一下
[01:02:21.600 --> 01:02:23.600]  它调整然后又上来了
[01:02:23.600 --> 01:02:25.600]  这个是保证的
[01:02:25.600 --> 01:02:27.600]  不让你过来
[01:02:27.600 --> 01:02:29.600]  这是正确的
[01:02:29.600 --> 01:02:31.600]  这个是
[01:02:31.600 --> 01:02:33.600]  为什么还要出
[01:02:33.600 --> 01:02:35.600]  好舒服呀
[01:02:35.600 --> 01:02:37.600]  反正没开窗户
[01:02:37.600 --> 01:02:39.600]  有点慢
[01:02:39.600 --> 01:02:41.600]  我开了那个什么一个半寿
[01:02:41.600 --> 01:02:43.600]  一长十
[01:02:43.600 --> 01:02:45.600]  一长十
[01:02:45.600 --> 01:02:47.600]  一长十
[01:02:47.600 --> 01:02:49.600]  这个是
[01:02:49.600 --> 01:02:51.600]  现在这也是
[01:02:51.600 --> 01:02:53.600]  这个是
[01:02:53.600 --> 01:02:55.600]  这个是
[01:02:55.600 --> 01:02:57.600]  这个是
[01:02:57.600 --> 01:02:59.600]  这个是
[01:02:59.600 --> 01:03:01.600]  这个是
[01:03:01.600 --> 01:03:03.600]  这个是
[01:03:03.600 --> 01:03:05.600]  这个是
[01:03:05.600 --> 01:03:07.600]  这个是
[01:03:07.600 --> 01:03:09.600]  这个是
[01:03:09.600 --> 01:03:11.600]  这个是
[01:03:11.600 --> 01:03:13.600]  这个是
[01:03:13.600 --> 01:03:15.600]  这个是
[01:03:15.600 --> 01:03:17.600]  这个是
[01:03:17.600 --> 01:03:19.600]  这个是
[01:03:19.600 --> 01:03:21.600]  这个是
[01:03:21.600 --> 01:03:23.600]  这个是
[01:03:23.600 --> 01:03:25.600]  这个是
[01:03:25.600 --> 01:03:27.600]  这个是
[01:03:27.600 --> 01:03:29.600]  这个是
[01:03:29.600 --> 01:03:31.600]  这个是
[01:03:31.600 --> 01:03:33.600]  这个是
[01:03:33.600 --> 01:03:35.600]  这个是
[01:03:35.600 --> 01:03:37.600]  这个是
[01:03:37.600 --> 01:03:39.600]  这个是
[01:03:39.600 --> 01:03:41.600]  这个是
[01:03:41.600 --> 01:03:43.600]  这个是
[01:03:43.600 --> 01:03:45.600]  这个是
[01:03:45.600 --> 01:03:47.600]  这个是
[01:03:47.600 --> 01:03:49.600]  这个是
[01:03:49.600 --> 01:03:51.600]  这个是
[01:03:51.600 --> 01:03:53.600]  这个是
[01:03:53.600 --> 01:03:55.600]  这个是
[01:03:55.600 --> 01:03:57.600]  这个是
[01:03:57.600 --> 01:03:59.600]  这个是
[01:03:59.600 --> 01:04:01.600]  这个是
[01:04:01.600 --> 01:04:03.600]  这个是
[01:04:03.600 --> 01:04:05.600]  这个是
[01:04:05.600 --> 01:04:07.600]  这个是
[01:04:07.600 --> 01:04:09.600]  这个是
[01:04:09.600 --> 01:04:11.600]  这个是
[01:04:11.600 --> 01:04:13.600]  这个是
[01:04:13.600 --> 01:04:15.600]  这个是
[01:04:15.600 --> 01:04:17.600]  这个是
[01:04:17.600 --> 01:04:19.600]  这个是
[01:04:19.600 --> 01:04:21.600]  这个是
[01:04:21.600 --> 01:04:23.600]  这个是
[01:04:23.600 --> 01:04:25.600]  这个是
[01:04:25.600 --> 01:04:27.600]  这个是
[01:04:27.600 --> 01:04:29.600]  这个是
[01:04:29.600 --> 01:04:31.600]  这个是
[01:04:31.600 --> 01:04:33.600]  这个是
[01:04:33.600 --> 01:04:35.600]  这个是
[01:04:35.600 --> 01:04:37.600]  这个是
[01:04:37.600 --> 01:04:39.600]  这个是
[01:04:39.600 --> 01:04:41.600]  这个是
[01:04:41.600 --> 01:04:43.600]  这个是
[01:04:43.600 --> 01:04:45.600]  这个是
[01:04:45.600 --> 01:04:47.600]  这个是
[01:04:47.600 --> 01:04:49.600]  这个是
[01:04:49.600 --> 01:04:51.600]  这个是
[01:04:51.600 --> 01:04:53.600]  这个是
[01:04:53.600 --> 01:04:55.600]  这个是
[01:04:55.600 --> 01:04:57.600]  这个是
[01:04:57.600 --> 01:04:59.600]  这个是
[01:04:59.600 --> 01:05:01.600]  这个是
[01:05:01.600 --> 01:05:03.600]  这个是
[01:05:03.600 --> 01:05:05.600]  这个是
[01:05:05.600 --> 01:05:07.600]  这个是
[01:05:07.600 --> 01:05:09.600]  这个是
[01:05:09.600 --> 01:05:11.600]  这个是
[01:05:11.600 --> 01:05:13.600]  这个是
[01:05:13.600 --> 01:05:15.600]  这个是
[01:05:15.600 --> 01:05:17.600]  这个是
[01:05:17.600 --> 01:05:19.600]  这个是
[01:05:19.600 --> 01:05:21.600]  这个是
[01:05:21.600 --> 01:05:23.600]  这个是
[01:05:23.600 --> 01:05:25.600]  这个是
[01:05:25.600 --> 01:05:27.600]  这个是
[01:05:27.600 --> 01:05:29.600]  这个是
[01:05:29.600 --> 01:05:31.600]  这个是
[01:05:31.600 --> 01:05:33.600]  这个是
[01:05:33.600 --> 01:05:35.600]  这个是
[01:05:35.600 --> 01:05:37.600]  这个是
[01:05:37.600 --> 01:05:39.600]  这个是
[01:05:39.600 --> 01:05:41.600]  这个是
[01:05:41.600 --> 01:05:43.600]  这个是
[01:05:43.600 --> 01:05:45.600]  这个是
[01:05:45.600 --> 01:05:47.600]  这个是
[01:05:47.600 --> 01:05:49.600]  这个是
[01:05:49.600 --> 01:05:51.600]  这个是
[01:05:51.600 --> 01:05:53.600]  这个是
[01:05:53.600 --> 01:05:55.600]  这个是
[01:05:55.600 --> 01:05:57.600]  这个是
[01:05:57.600 --> 01:05:59.600]  这个是
[01:05:59.600 --> 01:06:01.600]  这个是
[01:06:01.600 --> 01:06:03.600]  这个是
[01:06:03.600 --> 01:06:05.600]  这个是
[01:06:05.600 --> 01:06:07.600]  这个是
[01:06:07.600 --> 01:06:09.600]  这个是
[01:06:09.600 --> 01:06:11.600]  这个是
[01:06:11.600 --> 01:06:13.600]  这个是
[01:06:13.600 --> 01:06:15.600]  这个是
[01:06:15.600 --> 01:06:17.600]  这个是
[01:06:17.600 --> 01:06:19.600]  这个是
[01:06:19.600 --> 01:06:21.600]  这个是
[01:06:21.600 --> 01:06:23.600]  这个是
[01:06:23.600 --> 01:06:25.600]  这个是
[01:06:25.600 --> 01:06:27.600]  这个是
[01:06:27.600 --> 01:06:29.600]  这个是
[01:06:29.600 --> 01:06:31.600]  这个是
[01:06:31.600 --> 01:06:33.600]  这个是
[01:06:33.600 --> 01:06:35.600]  这个是
[01:06:35.600 --> 01:06:37.600]  这个是
[01:06:37.600 --> 01:06:39.600]  这个是
[01:06:39.600 --> 01:06:41.600]  这个是
[01:06:41.600 --> 01:06:43.600]  这个是
[01:06:43.600 --> 01:06:45.600]  这个是
[01:06:45.600 --> 01:06:47.600]  这个是
[01:06:47.600 --> 01:06:49.600]  这个是
[01:06:49.600 --> 01:06:51.600]  这个是
[01:06:51.600 --> 01:06:53.600]  这个是
[01:06:53.600 --> 01:06:55.600]  这个是
[01:06:55.600 --> 01:06:57.600]  这个是
[01:06:57.600 --> 01:06:59.600]  这个是
[01:06:59.600 --> 01:07:01.600]  这个是
[01:07:01.600 --> 01:07:03.600]  这个是
[01:07:03.600 --> 01:07:05.600]  这个是
[01:07:05.600 --> 01:07:07.600]  这个是
[01:07:07.600 --> 01:07:09.600]  这个是
[01:07:09.600 --> 01:07:11.600]  这个是
[01:07:11.600 --> 01:07:13.600]  这个是
[01:07:13.600 --> 01:07:15.600]  这个是
[01:07:15.600 --> 01:07:17.600]  这个是
[01:07:17.600 --> 01:07:19.600]  这个是
[01:07:19.600 --> 01:07:21.600]  这个是
[01:07:21.600 --> 01:07:23.600]  这个是
[01:07:23.600 --> 01:07:25.600]  这个是
[01:07:25.600 --> 01:07:27.600]  这个是
[01:07:27.600 --> 01:07:29.600]  还有
[01:07:29.600 --> 01:07:31.600]  还有
[01:07:31.600 --> 01:07:33.600]  还有
[01:07:33.600 --> 01:07:35.600]  还有
[01:07:35.600 --> 01:07:37.600]  今天怎么那么猛
[01:07:37.600 --> 01:07:39.600]  今天怎么那么猛
[01:07:39.600 --> 01:07:41.600]  保险
[01:07:41.600 --> 01:07:43.600]  保险
[01:07:43.600 --> 01:07:45.600]  保险
[01:07:45.600 --> 01:07:47.600]  保险今天也很漂亮
[01:07:47.600 --> 01:07:49.600]  保险今天也很漂亮
[01:07:49.600 --> 01:07:51.600]  保险很平常
[01:07:51.600 --> 01:07:53.600]  保险一定是
[01:07:53.600 --> 01:07:55.600]  保险一定是
[01:07:55.600 --> 01:07:57.600]  保险一定是
[01:07:57.600 --> 01:07:59.600]  这是联动的
[01:07:59.600 --> 01:08:01.600]  这是联动的
[01:08:01.600 --> 01:08:03.600]  这是联动的
[01:08:03.600 --> 01:08:05.600]  这是联动的
[01:08:05.600 --> 01:08:07.600]  这是联动的
[01:08:07.600 --> 01:08:09.600]  这是联动的
[01:08:09.600 --> 01:08:11.600]  这是联动的
[01:08:11.600 --> 01:08:13.600]  这是联动的
[01:08:13.600 --> 01:08:15.600]  这是联动的
[01:08:15.600 --> 01:08:17.600]  这是联动的
