[00:00:00.000 --> 00:00:05.640]  然后转为有效的这个结构这里的黑线是怎么把它给转出来的看得懂了吧
[00:34:19.840 --> 00:34:21.840]  对
[00:34:21.840 --> 00:34:23.840]  对
[00:34:23.840 --> 00:34:25.840]  对
[00:34:25.840 --> 00:34:27.840]  对
[00:34:27.840 --> 00:34:29.840]  对
[00:34:29.840 --> 00:34:31.840]  对
[00:34:31.840 --> 00:34:33.840]  对
[00:34:33.840 --> 00:34:35.840]  对
[00:34:35.840 --> 00:34:37.840]  对
[00:34:37.840 --> 00:34:39.840]  对
[00:34:39.840 --> 00:34:41.840]  对
[00:34:41.840 --> 00:34:43.840]  对
[00:34:43.840 --> 00:34:45.840]  对
[00:34:45.840 --> 00:34:47.840]  对
[00:34:47.840 --> 00:34:49.840]  对
[00:34:49.840 --> 00:34:51.840]  对
[00:34:51.840 --> 00:34:53.840]  对
[00:34:53.840 --> 00:34:55.840]  对
[00:34:55.840 --> 00:34:57.840]  对
[00:34:57.840 --> 00:34:59.840]  对
[00:34:59.840 --> 00:35:01.840]  对
[00:35:01.840 --> 00:35:03.840]  对
[00:35:03.840 --> 00:35:05.840]  对
[00:35:05.840 --> 00:35:07.840]  对
[00:35:07.840 --> 00:35:09.840]  左右也可以画一画的
[00:35:09.840 --> 00:35:11.840]  左右也可以画一画的
[00:35:11.840 --> 00:35:17.840]  这一段高度画一条线
[00:35:17.840 --> 00:35:19.840]  这一段高度画一条线
[00:35:19.840 --> 00:35:21.840]  比它高
[00:35:21.840 --> 00:35:23.840]  对吧
[00:35:23.840 --> 00:35:25.840]  高的标准
[00:35:25.840 --> 00:35:27.840]  这里画一条线比它高
[00:35:27.840 --> 00:35:29.840]  这里画一条线比它高
[00:35:29.840 --> 00:35:31.840]  这里画一条线比它高
[00:35:31.840 --> 00:35:33.840]  除了我看那就是上下左正在看
[00:35:33.840 --> 00:35:35.840]  K线和价格的左正在看
[00:35:35.840 --> 00:35:37.840]  你左右也要看
[00:35:37.840 --> 00:35:41.840]  牛骨都是这么来的呀
[00:35:41.840 --> 00:35:43.840]  牛骨都是这么来的呀
[00:35:43.840 --> 00:35:45.840]  这个是上下右正在看
[00:35:45.840 --> 00:35:47.840]  这个是上下右正在看
[00:35:47.840 --> 00:35:49.840]  这个是上下右正在看
[00:35:49.840 --> 00:35:51.840]  前一天
[00:35:51.840 --> 00:35:53.840]  前一天
[00:35:53.840 --> 00:35:55.840]  这一段的话都可以
[00:35:55.840 --> 00:35:57.840]  这一段都可以
[00:35:57.840 --> 00:35:59.840]  对
[00:35:59.840 --> 00:36:01.840]  对
[00:36:01.840 --> 00:36:03.840]  对
[00:36:03.840 --> 00:36:05.840]  对
[00:36:05.840 --> 00:36:07.840]  对
[00:36:07.840 --> 00:36:09.840]  对
[00:36:09.840 --> 00:36:11.840]  对
[00:36:11.840 --> 00:36:13.840]  对
[00:36:13.840 --> 00:36:15.840]  对
[00:36:15.840 --> 00:36:17.840]  对
[00:36:17.840 --> 00:36:19.840]  对
[00:36:19.840 --> 00:36:21.840]  对
[00:36:21.840 --> 00:36:23.840]  对
[00:36:23.840 --> 00:36:25.840]  对
[00:36:25.840 --> 00:36:27.840]  你刚才说的是这样子的
[00:36:27.840 --> 00:36:29.840]  扭转的时候
[00:36:29.840 --> 00:36:31.840]  扭转的时候是要高和巨
[00:36:31.840 --> 00:36:33.840]  是要高和巨就好
[00:36:33.840 --> 00:36:35.840]  但是调整完之后再启动
[00:36:35.840 --> 00:36:37.840]  就不要巨量了小倍量就可以了
[00:36:37.840 --> 00:36:39.840]  就不要巨量了小倍量就可以了
[00:36:39.840 --> 00:36:41.840]  扭转的时候是要有强的态度的
[00:36:41.840 --> 00:36:43.840]  扭转的时候是要有强的态度的
[00:36:43.840 --> 00:36:45.840]  但是扭转完之后再启动
[00:36:45.840 --> 00:36:47.840]  就是已经调整完之后再启动
[00:36:47.840 --> 00:36:49.840]  小倍量就好了
[00:36:49.840 --> 00:36:51.840]  你就不要再来一个高量住了
[00:36:51.840 --> 00:36:53.840]  这就是有一张图里面要给大家
[00:36:53.840 --> 00:36:55.840]  做功课
[00:36:55.840 --> 00:36:57.840]  做完那几张功课之后啊
[00:36:57.840 --> 00:36:59.840]  现在是看不好的 为什么它不好呢
[00:36:59.840 --> 00:37:01.840]  做完好的之后大家再看一下蔬菜神和金蒲菜叶
[00:37:01.840 --> 00:37:03.840]  做完好的之后大家再看一下蔬菜神和金蒲菜叶
[00:37:03.840 --> 00:37:05.840]  为什么这个
[00:37:05.840 --> 00:37:07.840]  对吧 阳线反包左边的阴线之后
[00:37:07.840 --> 00:37:09.840]  对吧 阳线反包左边的阴线之后
[00:37:09.840 --> 00:37:11.840]  不好
[00:37:11.840 --> 00:37:13.840]  不好
[00:37:13.840 --> 00:37:15.840]  蔬菜神为什么漂亮的模型塞
[00:37:15.840 --> 00:37:17.840]  对吧 不好
[00:37:17.840 --> 00:37:19.840]  对吧 不好
[00:37:19.840 --> 00:37:21.840]  对吧 不好
[00:37:21.840 --> 00:37:23.840]  对吧 不好
[00:37:23.840 --> 00:37:25.840]  对吧 不好
[00:37:25.840 --> 00:37:27.840]  对吧 不好
[00:37:27.840 --> 00:37:29.840]  对吧 不好
[00:37:29.840 --> 00:37:31.840]  再看一下
[00:37:31.840 --> 00:37:33.840]  再看一下
[00:37:33.840 --> 00:37:35.840]  好的看完再看不好的
[00:37:35.840 --> 00:37:37.840]  先把好的做完这个功课
[00:37:37.840 --> 00:37:39.840]  再来看这两个 为什么它会失败
[00:37:39.840 --> 00:37:41.840]  它会失败
[00:37:41.840 --> 00:37:43.840]  因为失败的应对
[00:37:43.840 --> 00:37:45.840]  是我们的对吧 就是
[00:37:45.840 --> 00:37:47.840]  应对策略
[00:37:47.840 --> 00:37:49.840]  但是有些是明明知道它打80% 90%
[00:37:49.840 --> 00:37:51.840]  就会失败的 你没必要去参与的
[00:37:51.840 --> 00:37:53.840]  有些就是大家是可以看出来的
[00:37:53.840 --> 00:37:55.840]  为什么会失败的
[00:37:55.840 --> 00:37:57.840]  为什么会失败的
[00:37:57.840 --> 00:38:21.840]  做好的可以拿给我看一下
[00:38:21.840 --> 00:38:23.840]  做好的可以拿给我看一下
[00:38:23.840 --> 00:38:25.840]  看几个在讲
[00:38:25.840 --> 00:38:27.840]  看几个在讲
[00:38:51.840 --> 00:38:53.840]  神好像觉得头晕了一点
[00:38:53.840 --> 00:38:55.840]  神好像觉得头晕了一点
[00:38:55.840 --> 00:38:57.840]  神好像觉得头晕了一点
[00:38:59.840 --> 00:39:01.840]  神好像觉得头晕了一点
[00:39:01.840 --> 00:39:03.840]  神好像觉得头晕了一点
[00:39:03.840 --> 00:39:05.840]  神好像觉得头晕了一点
[00:39:05.840 --> 00:39:07.840]  神好像觉得头晕了一点
[00:39:07.840 --> 00:39:09.840]  神好像觉得头晕了一点
[00:39:09.840 --> 00:39:11.840]  神好像觉得头晕了一点
[00:39:11.840 --> 00:39:13.840]  神好像觉得头晕了一点
[00:39:13.840 --> 00:39:15.840]  神好像觉得头晕了一点
[00:39:15.840 --> 00:39:17.840]  神好像觉得头晕了一点
[00:39:17.840 --> 00:39:19.840]  神好像觉得头晕了一点
[00:39:19.840 --> 00:39:21.840]  神好像觉得头晕了一点
[00:39:21.840 --> 00:39:23.840]  神好像觉得头晕了一点
[00:39:23.840 --> 00:39:25.840]  神好像觉得头晕了一点
[00:39:25.840 --> 00:39:27.840]  神好像觉得头晕了一点
[00:39:27.840 --> 00:39:29.840]  神好像觉得头晕了一点
[00:39:29.840 --> 00:39:31.840]  神好像觉得头晕了一点
[00:39:31.840 --> 00:39:33.840]  神好像觉得头晕了一点
[00:39:33.840 --> 00:39:35.840]  神好像觉得头晕了一点
[00:39:35.840 --> 00:39:37.840]  神好像觉得头晕了一点
[00:39:37.840 --> 00:39:39.840]  神好像觉得头晕了一点
[00:39:39.840 --> 00:39:41.840]  神好像觉得头晕了一点
[00:39:41.840 --> 00:39:43.840]  神好像觉得头晕了一点
[00:39:43.840 --> 00:39:45.840]  神好像觉得头晕了一点
[00:39:45.840 --> 00:39:47.840]  神好像觉得头晕了一点
[00:39:47.840 --> 00:39:49.840]  神好像觉得头晕了一点
[00:39:49.840 --> 00:39:51.840]  神好像觉得头晕了一点
[00:39:51.840 --> 00:39:53.840]  神好像觉得头晕了一点
[00:39:53.840 --> 00:39:55.840]  这个 书太神
[00:39:55.840 --> 00:39:57.840]  神好像觉得头晕了一点
[00:39:57.840 --> 00:39:59.840]  我就记住一个书太神
[00:39:59.840 --> 00:40:01.840]  另外一个法的我不知道是哪个
[00:40:01.840 --> 00:40:03.840]  流转能量
[00:40:03.840 --> 00:40:05.840]  这个也是不太好
[00:40:05.840 --> 00:40:07.840]  这个也是不太好
[00:40:07.840 --> 00:40:09.840]  是不是精不态业不太好
[00:40:09.840 --> 00:40:11.840]  是不是精不态业不太好
[00:40:11.840 --> 00:40:13.840]  上午讲的第二
[00:40:13.840 --> 00:40:15.840]  第一个流转
[00:40:15.840 --> 00:40:17.840]  下面流转能量
[00:40:17.840 --> 00:40:19.840]  有没有光亮
[00:40:19.840 --> 00:40:19.840]  背亮是主节
[00:40:19.840 --> 00:40:21.840]  背亮是主节
[00:40:21.840 --> 00:40:23.840]  整体区间是不一样
[00:40:23.840 --> 00:40:25.840]  所以背亮是主节
[00:40:25.840 --> 00:40:27.840]  在这里再次流转
[00:40:27.840 --> 00:40:29.840]  最大的区间
[00:40:29.840 --> 00:40:31.840]  在那里最亮的区间
[00:40:31.840 --> 00:40:33.840]  我们看
[00:40:33.840 --> 00:40:35.840]  我跟大家说一下
[00:40:35.840 --> 00:40:37.840]  我们在看这个量的时候
[00:40:37.840 --> 00:40:39.840]  我们在看这个量的时候
[00:40:39.840 --> 00:40:41.840]  重点是你们去看
[00:40:41.840 --> 00:40:43.840]  流转的态度的强弱
[00:40:43.840 --> 00:40:45.840]  林宝丽是不是
[00:40:45.840 --> 00:40:47.840]  林宝丽是不是
[00:40:47.840 --> 00:40:49.840]  你们一定要就是我为什么讲的
[00:40:49.840 --> 00:40:51.840]  你要知道这个资金参与之后
[00:40:51.840 --> 00:40:53.840]  那流转的态度的强弱
[00:40:53.840 --> 00:40:55.840]  如果连流转的时候
[00:40:55.840 --> 00:40:57.840]  都没有态度的
[00:40:57.840 --> 00:40:59.840]  你说这个股票要好
[00:40:59.840 --> 00:41:01.840]  那就很难了
[00:41:01.840 --> 00:41:03.840]  那你有意思吧
[00:41:03.840 --> 00:41:05.840]  就你要找出这种预期判断
[00:41:05.840 --> 00:41:07.840]  你看这直接对它才能起得来
[00:41:07.840 --> 00:41:09.840]  对 然后这里再放
[00:41:09.840 --> 00:41:11.840]  它也有背亮
[00:41:11.840 --> 00:41:13.840]  后面OK
[00:41:13.840 --> 00:41:15.840]  后面再加上这个最亮背也能起得来
[00:41:15.840 --> 00:41:17.840]  不是最差最差是背亮
[00:41:17.840 --> 00:41:19.840]  它这就这样前例
[00:41:19.840 --> 00:41:21.840]  不过它是这个半点是这样
[00:41:21.840 --> 00:41:23.840]  后面是这个前例
[00:41:23.840 --> 00:41:25.840]  它现在是一个空的
[00:41:25.840 --> 00:41:27.840]  它是一个空转的
[00:41:27.840 --> 00:41:29.840]  你把我上后转
[00:41:29.840 --> 00:41:31.840]  1 2 3 1 3
[00:41:31.840 --> 00:41:33.840]  这里面也是有背亮
[00:41:33.840 --> 00:41:35.840]  对比过去是个对象
[00:41:35.840 --> 00:41:37.840]  3 1是不是有
[00:41:37.840 --> 00:41:39.840]  对它有点紧
[00:41:39.840 --> 00:41:41.840]  对
[00:41:41.840 --> 00:41:43.840]  上下课了
[00:41:43.840 --> 00:41:45.840]  就这样这个放了
[00:41:45.840 --> 00:41:47.840]  然后你放了
[00:41:47.840 --> 00:41:49.840]  然后你放了
[00:41:49.840 --> 00:41:51.840]  然后你放了
[00:41:51.840 --> 00:41:53.840]  然后你放了
[00:41:53.840 --> 00:41:55.840]  然后你放了
[00:41:55.840 --> 00:41:57.840]  然后你放了
[00:41:57.840 --> 00:41:59.840]  然后你放了
[00:41:59.840 --> 00:42:01.840]  然后你放了
[00:42:01.840 --> 00:42:03.840]  然后你放了
[00:42:03.840 --> 00:42:05.840]  然后你放了
[00:42:05.840 --> 00:42:07.840]  然后你放了
[00:42:07.840 --> 00:42:09.840]  然后你放了
[00:42:09.840 --> 00:42:11.840]  然后你放了
[00:42:11.840 --> 00:42:13.840]  然后你放了
[00:42:13.840 --> 00:42:15.840]  然后你放了
[00:42:15.840 --> 00:42:17.840]  然后你放了
[00:42:17.840 --> 00:42:19.840]  然后你放了
[00:42:19.840 --> 00:42:21.840]  然后你放了
[00:42:21.840 --> 00:42:23.840]  然后你放了
[00:42:23.840 --> 00:42:25.840]  然后你放了
[00:42:25.840 --> 00:42:27.840]  然后你放了
[00:42:27.840 --> 00:42:29.840]  然后你放了
[00:42:29.840 --> 00:42:31.840]  然后你放了
[00:42:31.840 --> 00:42:33.840]  然后你放了
[00:42:33.840 --> 00:42:35.840]  然后你放了
[00:42:35.840 --> 00:42:37.840]  然后你放了
[00:42:37.840 --> 00:42:39.840]  然后你放了
[00:42:39.840 --> 00:42:41.840]  然后你放了
[00:42:41.840 --> 00:42:43.840]  然后你放了
[00:42:43.840 --> 00:42:45.840]  然后你放了
[00:42:45.840 --> 00:42:47.840]  然后你放了
[00:42:47.840 --> 00:42:49.840]  然后你放了
[00:42:49.840 --> 00:42:51.840]  然后你放了
[00:42:51.840 --> 00:42:53.840]  然后你放了
[00:42:53.840 --> 00:42:55.840]  然后你放了
[00:42:55.840 --> 00:42:57.840]  然后你放了
[00:42:57.840 --> 00:42:59.840]  然后你放了
[00:42:59.840 --> 00:43:01.840]  然后你放了
[00:43:01.840 --> 00:43:03.840]  然后你放了
[00:43:03.840 --> 00:43:05.840]  然后你放了
[00:43:05.840 --> 00:43:07.840]  然后你放了
[00:43:07.840 --> 00:43:09.840]  然后你放了
[00:43:09.840 --> 00:43:11.840]  然后你放了
[00:43:11.840 --> 00:43:13.840]  然后你放了
[00:43:13.840 --> 00:43:15.840]  然后你放了
[00:43:15.840 --> 00:43:17.840]  然后你放了
[00:43:17.840 --> 00:43:19.840]  然后你放了
[00:43:19.840 --> 00:43:21.840]  然后你放了
[00:43:21.840 --> 00:43:23.840]  然后你放了
[00:43:23.840 --> 00:43:25.840]  然后你放了
[00:43:25.840 --> 00:43:27.840]  然后你放了
[00:43:27.840 --> 00:43:29.840]  然后你放了
[00:43:29.840 --> 00:43:31.840]  然后你放了
[00:43:31.840 --> 00:43:33.840]  然后你放了
[00:43:33.840 --> 00:43:35.840]  然后你放了
[00:43:35.840 --> 00:43:37.840]  然后你放了
[00:43:37.840 --> 00:43:39.840]  然后你放了
[00:43:39.840 --> 00:43:41.840]  然后你放了
[00:43:41.840 --> 00:43:43.840]  然后你放了
[00:43:43.840 --> 00:43:45.840]  然后你放了
[00:43:45.840 --> 00:43:47.840]  然后你放了
[00:43:47.840 --> 00:43:49.840]  然后你放了
[00:43:49.840 --> 00:43:51.840]  然后你放了
[00:43:51.840 --> 00:43:53.840]  然后你放了
[00:43:53.840 --> 00:43:55.840]  然后你放了
[00:43:55.840 --> 00:43:57.840]  然后你放了
[00:43:57.840 --> 00:43:59.840]  然后你放了
[00:43:59.840 --> 00:44:01.840]  然后你放了
[00:44:01.840 --> 00:44:03.840]  然后你放了
[00:44:03.840 --> 00:44:05.840]  然后你放了
[00:44:05.840 --> 00:44:07.840]  然后你放了
[00:44:07.840 --> 00:44:09.840]  然后你放了
[00:44:09.840 --> 00:44:11.840]  然后你放了
[00:44:11.840 --> 00:44:13.840]  然后你放了
[00:44:13.840 --> 00:44:15.840]  然后你放了
[00:44:15.840 --> 00:44:17.840]  然后你放了
[00:44:17.840 --> 00:44:19.840]  然后你放了
[00:44:19.840 --> 00:44:21.840]  然后你放了
[00:44:21.840 --> 00:44:23.840]  然后你放了
[00:44:23.840 --> 00:44:25.840]  然后你放了
[00:44:25.840 --> 00:44:27.840]  然后你放了
[00:44:27.840 --> 00:44:29.840]  然后你放了
[00:44:29.840 --> 00:44:31.840]  然后你放了
[00:44:31.840 --> 00:44:33.840]  然后你放了
[00:44:33.840 --> 00:44:35.840]  然后你放了
[00:44:35.840 --> 00:44:37.840]  然后你放了
[00:44:37.840 --> 00:44:39.840]  然后你放了
[00:44:39.840 --> 00:44:41.840]  然后你放了
[00:44:41.840 --> 00:44:43.840]  然后你放了
[00:44:43.840 --> 00:44:45.840]  然后你放了
[00:44:45.840 --> 00:44:47.840]  然后你放了
[00:44:47.840 --> 00:44:49.840]  然后你放了
[00:44:49.840 --> 00:44:51.840]  然后你放了
[00:44:51.840 --> 00:44:53.840]  然后你放了
[00:44:53.840 --> 00:44:55.840]  然后你放了
[00:44:55.840 --> 00:44:57.840]  然后你放了
[00:44:57.840 --> 00:44:59.840]  然后你放了
[00:44:59.840 --> 00:45:01.840]  然后你放了
[00:45:01.840 --> 00:45:03.840]  然后你放了
[00:45:03.840 --> 00:45:05.840]  然后你放了
[00:45:05.840 --> 00:45:07.840]  然后你放了
[00:45:07.840 --> 00:45:09.840]  然后你放了
[00:45:09.840 --> 00:45:11.840]  然后你放了
[00:45:11.840 --> 00:45:13.840]  然后你放了
[00:45:13.840 --> 00:45:15.840]  然后你放了
[00:45:15.840 --> 00:45:17.840]  然后你放了
[00:45:17.840 --> 00:45:19.840]  然后你放了
[00:45:19.840 --> 00:45:21.840]  然后你放了
[00:45:21.840 --> 00:45:23.840]  然后你放了
[00:45:23.840 --> 00:45:25.840]  然后你放了
[00:45:25.840 --> 00:45:27.840]  然后你放了
[00:45:27.840 --> 00:45:29.840]  然后你放了
[00:45:29.840 --> 00:45:31.840]  然后你放了
[00:45:31.840 --> 00:45:33.840]  然后你放了
[00:45:33.840 --> 00:45:35.840]  然后你放了
[00:45:35.840 --> 00:45:37.840]  然后你放了
[00:45:37.840 --> 00:45:39.840]  然后你放了
[00:45:39.840 --> 00:45:41.840]  然后你放了
[00:45:41.840 --> 00:45:43.840]  然后你放了
[00:45:43.840 --> 00:45:45.840]  然后你放了
[00:45:45.840 --> 00:45:47.840]  然后你放了
[00:45:47.840 --> 00:45:49.840]  然后你放了
[00:45:49.840 --> 00:45:51.840]  然后你放了
[00:45:51.840 --> 00:45:53.840]  然后你放了
[00:45:53.840 --> 00:45:55.840]  然后你放了
[00:45:55.840 --> 00:45:57.840]  然后你放了
[00:45:57.840 --> 00:45:59.840]  然后你放了
[00:45:59.840 --> 00:46:01.840]  然后你放了
[00:46:01.840 --> 00:46:03.840]  然后你放了
[00:46:03.840 --> 00:46:05.840]  然后你放了
[00:46:05.840 --> 00:46:07.840]  然后你放了
[00:46:07.840 --> 00:46:09.840]  然后你放了
[00:46:09.840 --> 00:46:11.840]  然后你放了
[00:46:11.840 --> 00:46:13.840]  然后你放了
[00:46:13.840 --> 00:46:15.840]  然后你放了
[00:46:15.840 --> 00:46:17.840]  然后你放了
[00:46:17.840 --> 00:46:19.840]  然后你放了
[00:46:19.840 --> 00:46:21.840]  然后你放了
[00:46:21.840 --> 00:46:23.840]  然后你放了
[00:46:23.840 --> 00:46:25.840]  然后你放了
[00:46:25.840 --> 00:46:27.840]  然后你放了
[00:46:27.840 --> 00:46:29.840]  然后你放了
[00:46:29.840 --> 00:46:31.840]  然后你放了
[00:46:31.840 --> 00:46:33.840]  然后你放了
[00:46:33.840 --> 00:46:35.840]  然后你放了
[00:46:35.840 --> 00:46:37.840]  然后你放了
[00:46:37.840 --> 00:46:39.840]  然后你放了
[00:46:39.840 --> 00:46:41.840]  然后你放了
[00:46:41.840 --> 00:46:43.840]  然后你放了
[00:46:43.840 --> 00:46:45.840]  然后你放了
[00:46:45.840 --> 00:46:47.840]  然后你放了
[00:46:47.840 --> 00:46:49.840]  然后你放了
[00:46:49.840 --> 00:46:51.840]  然后你放了
[00:46:51.840 --> 00:46:53.840]  然后你放了
[00:46:53.840 --> 00:46:55.840]  然后你放了
[00:46:55.840 --> 00:46:57.840]  然后你放了
[00:46:57.840 --> 00:46:59.840]  然后你放了
[00:46:59.840 --> 00:47:01.840]  然后你放了
[00:47:01.840 --> 00:47:03.840]  然后你放了
[00:47:03.840 --> 00:47:05.840]  然后你放了
[00:47:05.840 --> 00:47:07.840]  然后你放了
[00:47:07.840 --> 00:47:09.840]  然后你放了
[00:47:09.840 --> 00:47:11.840]  然后你放了
[00:47:11.840 --> 00:47:13.840]  然后你放了
[00:47:13.840 --> 00:47:15.840]  然后你放了
[00:47:15.840 --> 00:47:17.840]  然后你放了
[00:47:17.840 --> 00:47:19.840]  然后你放了
[00:47:19.840 --> 00:47:21.840]  然后你放了
[00:47:21.840 --> 00:47:23.840]  然后你放了
[00:47:23.840 --> 00:47:25.840]  然后你放了
[00:47:25.840 --> 00:47:27.840]  然后你放了
[00:47:27.840 --> 00:47:29.840]  然后你放了
[00:47:29.840 --> 00:47:31.840]  然后你放了
[00:47:31.840 --> 00:47:33.840]  然后你放了
[00:47:33.840 --> 00:47:35.840]  然后你放了
[00:47:35.840 --> 00:47:37.840]  然后你放了
[00:47:37.840 --> 00:47:39.840]  然后你放了
[00:47:39.840 --> 00:47:41.840]  然后你放了
[00:47:41.840 --> 00:47:43.840]  然后你放了
[00:47:43.840 --> 00:47:45.840]  然后你放了
[00:47:45.840 --> 00:47:47.840]  然后你放了
[00:47:47.840 --> 00:47:49.840]  然后你放了
[00:47:49.840 --> 00:47:51.840]  然后你放了
[00:47:51.840 --> 00:47:53.840]  然后你放了
[00:47:53.840 --> 00:47:55.840]  然后你放了
[00:47:55.840 --> 00:47:57.840]  然后你放了
[00:47:57.840 --> 00:47:59.840]  然后你放了
[00:47:59.840 --> 00:48:01.840]  然后你放了
[00:48:01.840 --> 00:48:03.840]  然后你放了
[00:48:03.840 --> 00:48:05.840]  然后你放了
[00:48:05.840 --> 00:48:07.840]  然后你放了
[00:48:07.840 --> 00:48:09.840]  然后你放了
[00:48:09.840 --> 00:48:11.840]  然后你放了
[00:48:11.840 --> 00:48:13.840]  然后你放了
[00:48:13.840 --> 00:48:15.840]  然后你放了
[00:48:15.840 --> 00:48:17.840]  然后你放了
[00:48:17.840 --> 00:48:19.840]  然后你放了
[00:48:19.840 --> 00:48:21.840]  然后你放了
[00:48:21.840 --> 00:48:23.840]  然后你放了
[00:48:23.840 --> 00:48:25.840]  然后你放了
[00:48:25.840 --> 00:48:27.840]  然后你放了
[00:48:27.840 --> 00:48:29.840]  然后你放了
[00:48:29.840 --> 00:48:31.840]  然后你放了
[00:48:31.840 --> 00:48:33.840]  然后你放了
[00:48:33.840 --> 00:48:35.840]  然后你放了
[00:48:35.840 --> 00:48:37.840]  然后你放了
[00:48:37.840 --> 00:48:39.840]  然后你放了
[00:48:39.840 --> 00:48:41.840]  然后你放了
[00:48:41.840 --> 00:48:43.840]  然后你放了
[00:48:43.840 --> 00:48:45.840]  然后你放了
[00:48:45.840 --> 00:48:47.840]  然后你放了
[00:48:47.840 --> 00:48:49.840]  然后你放了
[00:48:49.840 --> 00:48:51.840]  然后你放了
[00:48:51.840 --> 00:48:53.840]  然后你放了
[00:48:53.840 --> 00:48:55.840]  然后你放了
[00:48:55.840 --> 00:48:57.840]  然后你放了
[00:48:57.840 --> 00:48:59.840]  然后你放了
[00:48:59.840 --> 00:49:01.840]  然后你放了
[00:49:01.840 --> 00:49:03.840]  然后你放了
[00:49:03.840 --> 00:49:05.840]  然后你放了
[00:49:05.840 --> 00:49:07.840]  然后你放了
[00:49:07.840 --> 00:49:09.840]  然后你放了
[00:49:09.840 --> 00:49:11.840]  然后你放了
[00:49:11.840 --> 00:49:13.840]  然后你放了
[00:49:13.840 --> 00:49:15.840]  然后你放了
[00:49:15.840 --> 00:49:17.840]  然后你放了
[00:49:17.840 --> 00:49:19.840]  然后你放了
[00:49:19.840 --> 00:49:21.840]  然后你放了
[00:49:21.840 --> 00:49:23.840]  然后你放了
[00:49:23.840 --> 00:49:25.840]  然后你放了
[00:49:25.840 --> 00:49:27.840]  然后你放了
[00:49:27.840 --> 00:49:29.840]  然后你放了
[00:49:29.840 --> 00:49:31.840]  然后你放了
[00:49:31.840 --> 00:49:33.840]  然后你放了
[00:49:33.840 --> 00:49:35.840]  然后你放了
[00:49:35.840 --> 00:49:37.840]  然后你放了
[00:49:37.840 --> 00:49:39.840]  然后你放了
[00:49:39.840 --> 00:49:41.840]  然后你放了
[00:49:41.840 --> 00:49:43.840]  然后你放了
[00:49:43.840 --> 00:49:45.840]  然后你放了
[00:49:45.840 --> 00:49:47.840]  然后你放了
[00:49:47.840 --> 00:49:49.840]  然后你放了
[00:49:49.840 --> 00:49:51.840]  然后你放了
[00:49:51.840 --> 00:49:53.840]  然后你放了
[00:49:53.840 --> 00:49:55.840]  然后你放了
[00:49:55.840 --> 00:49:57.840]  然后你放了
[00:49:57.840 --> 00:49:59.840]  然后你放了
[00:49:59.840 --> 00:50:01.840]  然后你放了
[00:50:01.840 --> 00:50:03.840]  然后你放了
[00:50:03.840 --> 00:50:05.840]  然后你放了
[00:50:05.840 --> 00:50:07.840]  然后你放了
[00:50:07.840 --> 00:50:09.840]  然后你放了
[00:50:09.840 --> 00:50:11.840]  然后你放了
[00:50:11.840 --> 00:50:13.840]  然后你放了
[00:50:13.840 --> 00:50:15.840]  然后你放了
[00:50:15.840 --> 00:50:17.840]  然后你放了
[00:50:17.840 --> 00:50:19.840]  然后你放了
[00:50:19.840 --> 00:50:21.840]  然后你放了
[00:50:21.840 --> 00:50:23.840]  然后你放了
[00:50:23.840 --> 00:50:25.840]  然后你放了
[00:50:25.840 --> 00:50:27.840]  然后你放了
[00:50:27.840 --> 00:50:29.840]  然后你放了
[00:50:29.840 --> 00:50:31.840]  然后你放了
[00:50:31.840 --> 00:50:33.840]  然后你放了
[00:50:33.840 --> 00:50:35.840]  然后你放了
[00:50:35.840 --> 00:50:37.840]  然后你放了
[00:50:37.840 --> 00:50:39.840]  然后你放了
[00:50:39.840 --> 00:50:41.840]  然后你放了
[00:50:41.840 --> 00:50:43.840]  然后你放了
[00:50:43.840 --> 00:50:45.840]  然后你放了
[00:50:45.840 --> 00:50:47.840]  然后你放了
[00:50:47.840 --> 00:50:49.840]  然后你放了
[00:50:49.840 --> 00:50:51.840]  然后你放了
[00:50:51.840 --> 00:50:53.840]  然后你放了
[00:50:53.840 --> 00:50:55.840]  然后你放了
[00:50:55.840 --> 00:50:57.840]  然后你放了
[00:50:57.840 --> 00:50:59.840]  然后你放了
[00:50:59.840 --> 00:51:01.840]  然后你放了
[00:51:01.840 --> 00:51:03.840]  然后你放了
[00:51:03.840 --> 00:51:05.840]  然后你放了
[00:51:05.840 --> 00:51:07.840]  然后你放了
[00:51:07.840 --> 00:51:09.840]  然后你放了
[00:51:09.840 --> 00:51:11.840]  然后你放了
[00:51:11.840 --> 00:51:13.840]  然后你放了
[00:51:13.840 --> 00:51:15.840]  然后你放了
[00:51:15.840 --> 00:51:17.840]  然后你放了
[00:51:17.840 --> 00:51:19.840]  然后你放了
[00:51:19.840 --> 00:51:21.840]  然后你放了
[00:51:21.840 --> 00:51:23.840]  然后你放了
[00:51:23.840 --> 00:51:25.840]  然后你放了
[00:51:25.840 --> 00:51:27.840]  然后你放了
[00:51:27.840 --> 00:51:29.840]  然后你放了
[00:51:29.840 --> 00:51:31.840]  然后你放了
[00:51:31.840 --> 00:51:33.840]  然后你放了
[00:51:33.840 --> 00:51:35.840]  然后你放了
[00:51:35.840 --> 00:51:37.840]  然后你放了
[00:51:37.840 --> 00:51:39.840]  然后你放了
[00:51:39.840 --> 00:51:41.840]  然后你放了
[00:51:41.840 --> 00:51:43.840]  然后你放了
