[00:00:00.000 --> 00:00:02.000]  破壞中的分期
[00:35:20.000 --> 00:35:22.000]  每一次你要想認知突破的時候
[00:35:22.000 --> 00:35:24.000]  一定前面是痛苦的
[00:35:24.000 --> 00:35:25.000]  我也是一樣
[00:35:25.000 --> 00:35:26.000]  我也經歷很痛苦的
[00:35:26.000 --> 00:35:28.000]  所以我們說這一套
[00:35:28.000 --> 00:35:29.000]  就是我們說
[00:35:29.000 --> 00:35:30.000]  怎麼樣做股票
[00:35:30.000 --> 00:35:33.000]  我也是真的實打實的和大家分享了
[00:35:33.000 --> 00:35:36.000]  你們去好好感悟嚴格執行
[00:35:36.000 --> 00:35:39.000]  嚴格執行固化自己的模式
[00:35:39.000 --> 00:35:42.000]  錯了反思總結問題
[00:35:42.000 --> 00:35:43.000]  不要找外因
[00:35:43.000 --> 00:35:45.000]  找自己
[00:35:45.000 --> 00:35:46.000]  找自己
[00:35:46.000 --> 00:35:49.000]  我再把這個股票仔細分析一下
[00:35:49.000 --> 00:35:53.000]  是哪個環節我可能考慮不到位
[00:35:53.000 --> 00:35:54.000]  大家認同吧
[00:35:54.000 --> 00:35:55.000]  哪個環節不到位
[00:35:55.000 --> 00:35:57.000]  那這個細節我就記住了
[00:35:57.000 --> 00:35:58.000]  下次我在看的過程中
[00:35:58.000 --> 00:36:00.000]  這個細節我就著重考慮
[00:36:00.000 --> 00:36:01.000]  因為所有的
[00:36:01.000 --> 00:36:03.000]  有的時候是這樣子的
[00:36:03.000 --> 00:36:05.000]  像市場教學費
[00:36:05.000 --> 00:36:07.000]  是真的是需要的
[00:36:07.000 --> 00:36:10.000]  每一筆錯都是市場教學費
[00:36:10.000 --> 00:36:11.000]  而得到的
[00:36:11.000 --> 00:36:12.000]  認同吧
[00:36:12.000 --> 00:36:14.000]  所以這個過程中是一個打磨
[00:36:14.000 --> 00:36:16.000]  最後我們又回到前面的
[00:36:16.000 --> 00:36:18.000]  那四個字
[00:36:18.000 --> 00:36:21.000]  我們都準備撤了
[00:36:21.000 --> 00:36:22.000]  我們也差不多了
[00:36:22.000 --> 00:36:24.000]  放心
[00:36:24.000 --> 00:36:30.000]  這四個字
[00:36:30.000 --> 00:36:33.000]  這四個字大家第一次聽嘛
[00:36:33.000 --> 00:36:35.000]  這一次才聽到嘛
[00:36:35.000 --> 00:36:38.000]  市 籌 行 封
[00:36:38.000 --> 00:36:40.000]  不要扣評
[00:36:40.000 --> 00:36:42.000]  我們希望大家什麼
[00:36:42.000 --> 00:36:44.000]  就是把它記在心裡面
[00:36:44.000 --> 00:36:45.000]  再次最後強調
[00:36:45.000 --> 00:36:47.000]  錄音任何人不要外傳
[00:36:47.000 --> 00:36:49.000]  不管你多鐵桿的朋友
[00:36:49.000 --> 00:36:51.000]  不管你多鐵桿的朋友不要外傳
[00:36:51.000 --> 00:36:53.000]  好好自己學習
[00:36:53.000 --> 00:36:54.000]  再次強調
[00:36:54.000 --> 00:36:55.000]  市 籌 行 封
[00:36:55.000 --> 00:36:57.000]  每一次在做的時候把這四個字
[00:36:57.000 --> 00:37:00.000]  你看為什麼封在後面
[00:37:00.000 --> 00:37:01.000]  封什麼
[00:37:01.000 --> 00:37:03.000]  那之後
[00:37:03.000 --> 00:37:04.000]  封來了
[00:37:04.000 --> 00:37:06.000]  豬都會飛上天
[00:37:06.000 --> 00:37:07.000]  封走了
[00:37:07.000 --> 00:37:08.000]  豬就摔死了
[00:37:08.000 --> 00:37:09.000]  所以同樣的
[00:37:09.000 --> 00:37:11.000]  我們最終都是什麼
[00:37:11.000 --> 00:37:14.000]  任何事物都是要借
[00:37:14.000 --> 00:37:16.000]  借市借封
[00:37:16.000 --> 00:37:17.000]  借利
[00:37:17.000 --> 00:37:18.000]  又回到我們說的
[00:37:18.000 --> 00:37:21.000]  孫子兵法裡面的這個智慧了
[00:37:21.000 --> 00:37:22.000]  對不對
[00:37:22.000 --> 00:37:23.000]  我們做事情也是一樣的
[00:37:23.000 --> 00:37:24.000]  我們是做股票
[00:37:24.000 --> 00:37:26.000]  我們需要的是借
[00:37:26.000 --> 00:37:28.000]  借主力的市
[00:37:28.000 --> 00:37:29.000]  主力也不是牛人
[00:37:29.000 --> 00:37:31.000]  它再牛也不行
[00:37:31.000 --> 00:37:33.000]  主力要借什麼
[00:37:33.000 --> 00:37:37.000]  也要借政策 宏觀 消息
[00:37:37.000 --> 00:37:38.000]  公司成長的市
[00:37:38.000 --> 00:37:39.000]  對不對
[00:37:39.000 --> 00:37:41.000]  主力也要借市
[00:37:41.000 --> 00:37:42.000]  所以這個市
[00:37:42.000 --> 00:37:44.000]  我們所講的是什麼
[00:37:44.000 --> 00:37:47.000]  我主力借的是這個
[00:37:47.000 --> 00:37:48.000]  大家明白
[00:37:48.000 --> 00:37:49.000]  應該能理解
[00:37:49.000 --> 00:37:52.000]  主力是自己可以造市的
[00:37:52.000 --> 00:37:54.000]  可以自己控籌的
[00:37:54.000 --> 00:37:56.000]  也可以把這個形態很漂亮的
[00:37:56.000 --> 00:37:58.000]  但是它要借什麼
[00:37:58.000 --> 00:38:00.000]  借封
[00:38:00.000 --> 00:38:01.000]  它需要借封
[00:38:01.000 --> 00:38:03.000]  就像我們最近看到的
[00:38:03.000 --> 00:38:05.000]  化工會合成生物
[00:38:05.000 --> 00:38:06.000]  低空經濟
[00:38:06.000 --> 00:38:09.000]  包括前幾天黃金上漲的時候
[00:38:09.000 --> 00:38:10.000]  黃金概念都上漲對不對
[00:38:10.000 --> 00:38:12.000]  這是不是都是封
[00:38:12.000 --> 00:38:13.000]  也需要借封
[00:38:13.000 --> 00:38:14.000]  房地產的政治的放開
[00:38:14.000 --> 00:38:16.000]  房地產最近是不是也是什麼
[00:38:16.000 --> 00:38:17.000]  上漲對不對
[00:38:17.000 --> 00:38:18.000]  所以這叫封
[00:38:18.000 --> 00:38:20.000]  所以最終所有的一切
[00:38:20.000 --> 00:38:21.000]  封一定要研究透
[00:38:21.000 --> 00:38:24.000]  如果說你不會研究封的我說過了
[00:38:24.000 --> 00:38:26.000]  你就老老實實的做什麼
[00:38:26.000 --> 00:38:29.000]  市籌型漂亮亮亮的
[00:38:29.000 --> 00:38:31.000]  耐耐心心的做
[00:38:31.000 --> 00:38:32.000]  不要急
[00:38:32.000 --> 00:38:33.000]  大家理解意思沒有
[00:38:33.000 --> 00:38:37.000]  就不要著急耐耐心心的做
[00:38:37.000 --> 00:38:41.000]  然後又回到我們說的這一句話了
[00:38:41.000 --> 00:38:43.000]  最後
[00:38:43.000 --> 00:38:45.000]  聖兵先上然後求戰
[00:38:45.000 --> 00:38:47.000]  拜兵先戰然後求勝
[00:38:47.000 --> 00:38:50.000]  我們這一次的課程就到這了
[00:38:50.000 --> 00:38:54.000]  謝謝大家學習辛苦了
[00:38:54.000 --> 00:38:57.000]  有什麼問題我們就群裡
[00:38:57.000 --> 00:38:59.000]  這個群會解散的
[00:38:59.000 --> 00:39:00.000]  下次就復訓完就解散
[00:39:00.000 --> 00:39:02.000]  大家每個人都有自己的學習群的
[00:39:02.000 --> 00:39:06.000]  有什麼問題直接跟我交流
[00:39:06.000 --> 00:39:07.000]  這是最直接的對不對
[00:39:07.000 --> 00:39:09.000]  然後希望大家回去之後
[00:39:09.000 --> 00:39:11.000]  你自己去強化恐怖
[00:39:11.000 --> 00:39:14.000]  強化恐怖然後再做的課程說
[00:39:14.000 --> 00:39:16.000]  先口短線去感受
