[00:00:00.000 --> 00:00:04.200]  第三天看了前面这一个半小时呢跟大家分享的就是什么
[00:27:57.100 --> 00:27:58.700]  大家就把焦点
[00:27:58.700 --> 00:27:59.600]  先看周线
[00:27:59.600 --> 00:28:01.200]  我们现在是讲中长期
[00:28:01.200 --> 00:28:02.700]  现在中长期没有
[00:28:02.700 --> 00:28:03.300]  基本上没有
[00:28:03.300 --> 00:28:04.400]  除了电力
[00:28:04.400 --> 00:28:05.400]  高谷西的
[00:28:05.400 --> 00:28:06.600]  中石油
[00:28:06.600 --> 00:28:06.900]  对吧
[00:28:06.900 --> 00:28:07.700]  中石化
[00:28:07.700 --> 00:28:08.300]  石油
[00:28:08.300 --> 00:28:09.300]  电力
[00:28:09.300 --> 00:28:11.500]  还有那个什么
[00:28:11.500 --> 00:28:13.800]  还有那个还有那个航运
[00:28:13.800 --> 00:28:16.200]  因为有有有有招商
[00:28:16.200 --> 00:28:18.100]  招商人传和中原海控
[00:28:18.100 --> 00:28:19.600]  这两个股票带动的板块嘛
[00:28:19.600 --> 00:28:20.300]  对不对
[00:28:20.300 --> 00:28:21.500]  是越线好的
[00:28:21.500 --> 00:28:22.700]  其他基本上
[00:28:22.700 --> 00:28:23.600]  除了高谷西的
[00:28:23.600 --> 00:28:25.700]  基本上都是属于空的
[00:28:25.700 --> 00:28:26.900]  基本上都是属于空的
[00:28:26.900 --> 00:28:28.400]  但你也不用担心空
[00:28:28.400 --> 00:28:30.200]  空了之后也会转多的
[00:28:30.200 --> 00:28:31.000]  你像这种板块
[00:28:31.000 --> 00:28:32.100]  跟用下地空
[00:28:32.100 --> 00:28:33.200]  不也是空了好多年吗
[00:28:33.200 --> 00:28:33.900]  对不对
[00:28:33.900 --> 00:28:35.100]  也会转多的
[00:28:35.100 --> 00:28:37.100]  就是现在哪怕消息很多很多力空的
[00:28:37.100 --> 00:28:39.900]  包括新能权里面的一些方向
[00:28:39.900 --> 00:28:40.900]  它什么时候转多
[00:28:40.900 --> 00:28:42.500]  它又是一条好话
[00:28:42.500 --> 00:28:43.100]  它不转多
[00:28:43.100 --> 00:28:44.200]  它就是不行
[00:28:44.200 --> 00:28:45.800]  所以政策面的解读
[00:28:45.800 --> 00:28:46.700]  这回回到了
[00:28:46.700 --> 00:28:48.700]  我们所有的政策面的解读
[00:28:48.700 --> 00:28:50.900]  要结合市
[00:28:50.900 --> 00:28:52.600]  如果政策面的解读
[00:28:52.600 --> 00:28:55.700]  跟这个市是合力的
[00:28:55.700 --> 00:28:58.100]  那么就是推缩助揽
[00:28:58.100 --> 00:29:00.100]  顺势而为
[00:29:00.100 --> 00:29:01.500]  如果政策面的解读
[00:29:01.500 --> 00:29:02.300]  对吧
[00:29:02.300 --> 00:29:03.700]  它没有办法合力的
[00:29:03.700 --> 00:29:04.600]  它就不行
[00:29:04.600 --> 00:29:06.600]  像最近房地产政策面的解读
[00:29:06.600 --> 00:29:09.000]  跟我们的这个板块指数的走势
[00:29:09.000 --> 00:29:10.000]  它只是一些什么
[00:29:10.000 --> 00:29:11.400]  就是近期的
[00:29:11.400 --> 00:29:12.900]  反弹扭转的机会
[00:29:12.900 --> 00:29:14.100]  达不到说是
[00:29:14.100 --> 00:29:16.200]  能够持续持续向上远的机会
[00:29:16.200 --> 00:29:17.900]  那在房地产房地产服务里面
[00:29:17.900 --> 00:29:19.800]  我们做就是短线的思路
[00:29:19.800 --> 00:29:22.900]  就是一个明目的目的
[00:29:22.900 --> 00:29:24.400]  扭转之后整个调整
[00:29:24.400 --> 00:29:25.500]  模型三
[00:29:25.500 --> 00:29:27.000]  这个模型三就是有价值的
[00:29:27.000 --> 00:29:28.800]  大家可以看到
[00:29:28.800 --> 00:29:29.900]  模型三就是有价值的
[00:29:29.900 --> 00:29:31.400]  在这个位置推进全部的上方
[00:29:31.400 --> 00:29:32.800]  因为我们买博士在月限
[00:29:32.800 --> 00:29:34.600]  月限是看整体的市
[00:29:34.600 --> 00:29:35.700]  然后继续向上
[00:29:35.700 --> 00:29:37.900]  这个位置的调整又是一个什么
[00:29:37.900 --> 00:29:39.400]  在整个市的上方
[00:29:39.400 --> 00:29:41.000]  所以当它周线形成反弯
[00:29:41.000 --> 00:29:42.600]  它就是顺手
[00:29:42.600 --> 00:29:44.100]  这个大家记住了
[00:29:44.100 --> 00:29:45.800]  两地一点 力心高
[00:29:45.800 --> 00:29:46.700]  我再次
[00:29:46.700 --> 00:29:48.200]  就是已经多端准备说过了
[00:29:48.200 --> 00:29:49.900]  这个我最喜欢
[00:29:49.900 --> 00:29:52.200]  两地一点 力心高
[00:29:52.200 --> 00:29:53.600]  这个是量差不多平等
[00:29:53.600 --> 00:29:55.300]  特别是心高之后的量
[00:29:55.300 --> 00:29:57.200]  跟这个量 后量超前量
[00:29:57.200 --> 00:30:00.800]  回调突破这个趋势线的后面就是加速
[00:30:00.800 --> 00:30:01.900]  这他采取的
[00:30:01.900 --> 00:30:03.800]  是就是这么
[00:30:03.800 --> 00:30:06.100]  先拿一部分洗一洗
[00:30:06.100 --> 00:30:07.400]  再加一部分洗一洗
[00:30:07.400 --> 00:30:09.100]  所有的手马都转换过来了
[00:30:09.100 --> 00:30:12.200]  后面就是加速上涨
[00:30:12.200 --> 00:30:15.000]  好 我们可以看到这一段走势
[00:30:15.000 --> 00:30:18.200]  那我们再给大家看看这种
[00:30:18.200 --> 00:30:19.000]  这种的话
[00:30:19.000 --> 00:30:20.600]  大家在月线上是看不出来的
[00:30:20.600 --> 00:30:22.300]  也不排除我们今年
[00:30:22.300 --> 00:30:24.200]  某些板块走势 这种走势
[00:30:24.200 --> 00:30:27.000]  这种的话 月线上的机会是到这里了
[00:30:27.000 --> 00:30:29.200]  真正的机会其实到这多位置的中期
[00:30:29.200 --> 00:30:30.300]  到这多位置
[00:30:30.300 --> 00:30:31.700]  但是它这一段的转
[00:30:31.700 --> 00:30:33.900]  月线上是呈现不出来的
[00:30:33.900 --> 00:30:35.000]  所以呈现不出来的
[00:30:35.000 --> 00:30:36.900]  我们就看不出它去跟月线多了
[00:30:36.900 --> 00:30:38.300]  大家明白意思没有
[00:30:38.300 --> 00:30:41.100]  就是你这里你就不要看
[00:30:41.100 --> 00:30:43.900]  我们反弹只能看反弹
[00:30:43.900 --> 00:30:45.300]  就是只能说月线的级别
[00:30:45.300 --> 00:30:46.100]  中长的机会
[00:30:46.100 --> 00:30:47.800]  只能是一个中期反弹
[00:30:47.800 --> 00:30:49.400]  一个月两个月三个四个月五个月
[00:30:49.400 --> 00:30:50.300]  整个上差
[00:30:50.300 --> 00:30:52.200]  它也价格的上涨
[00:30:52.200 --> 00:30:55.300]  也没有能力把势转得多头
[00:30:55.300 --> 00:30:58.700]  这一轮行情也定性为中期反弹
[00:30:58.700 --> 00:30:59.800]  大家能明白我意思没有
[00:30:59.800 --> 00:31:01.500]  就是站在中长期的纬度
[00:31:01.500 --> 00:31:03.600]  中长期的纬度之后到这个位置
[00:31:03.600 --> 00:31:05.000]  价格再次向上
[00:31:05.000 --> 00:31:06.900]  把我们合时带到向上
[00:31:06.900 --> 00:31:09.900]  那才能产生中长期的多
[00:31:09.900 --> 00:31:12.000]  才能转到中长期的多这个思路
[00:31:12.000 --> 00:31:14.100]  所以月线大家应该能够理解了
[00:31:14.100 --> 00:31:17.600]  我们现在也可以什么
[00:31:17.600 --> 00:31:18.500]  可以来稍微过
[00:31:18.500 --> 00:31:20.000]  我现在头部我就不讲了
[00:31:20.000 --> 00:31:21.500]  因为现在咱们都是
[00:31:21.500 --> 00:31:23.200]  大部分都是在下面跌着了
[00:31:23.200 --> 00:31:25.900]  怎么看扭转的一个过程
[00:31:25.900 --> 00:31:27.700]  像软件服务大家可以看到
[00:31:27.700 --> 00:31:28.800]  去年的一波行情
[00:31:28.800 --> 00:31:30.100]  也是属于月线上的
[00:31:30.100 --> 00:31:32.000]  是一个大周期的一个反弹
[00:31:32.000 --> 00:31:34.300]  就不是属于月线中长期级别
[00:31:34.300 --> 00:31:36.500]  它也就是一个中期
[00:31:36.500 --> 00:31:37.900]  大家能明白我意思没有
[00:31:37.900 --> 00:31:39.300]  所以我们在看的过程中
[00:31:39.300 --> 00:31:40.600]  是一个什么思维呢
[00:31:40.600 --> 00:31:43.200]  就是你可以每个月
[00:31:43.200 --> 00:31:45.700]  把所有的板块指数过一遍
[00:31:45.700 --> 00:31:48.800]  哪一个板块是月线多头
[00:31:48.800 --> 00:31:50.200]  大家明白我意思吧
[00:31:50.200 --> 00:31:51.500]  就是你把所有的板块
[00:31:51.500 --> 00:31:52.700]  就月线多头的
[00:31:52.700 --> 00:31:53.700]  可以是做趋势的
[00:31:53.700 --> 00:31:54.500]  你就叮咬
[00:31:54.500 --> 00:31:55.900]  你像电力在这里
[00:31:55.900 --> 00:31:57.100]  我们在这里说过
[00:31:57.100 --> 00:31:58.000]  电力是属于什么
[00:31:58.000 --> 00:32:00.800]  月线是趋势多头的
[00:32:00.800 --> 00:32:02.300]  石油是趋势多头的
[00:32:02.300 --> 00:32:03.800]  你就把月线的趋势多头
[00:32:03.800 --> 00:32:04.500]  你就叮咬
[00:32:04.500 --> 00:32:06.500]  煤炭在这里是趋势多头的
[00:32:06.500 --> 00:32:07.400]  那的话你调整
[00:32:07.400 --> 00:32:08.700]  只要你形成K线拐点
[00:32:08.700 --> 00:32:09.900]  就是顺势而为
[00:32:09.900 --> 00:32:11.300]  那么月线趋势多头的
[00:32:11.300 --> 00:32:13.700]  你不要在什么
[00:32:13.700 --> 00:32:15.000]  不要去追涨买
[00:32:15.000 --> 00:32:16.300]  周线在这里调整
[00:32:16.300 --> 00:32:17.700]  出现一个反包的时候
[00:32:17.700 --> 00:32:19.300]  就煤炭我都还没那么看
[00:32:19.300 --> 00:32:20.500]  像石油对吧
[00:32:20.500 --> 00:32:22.700]  石油板块月线是趋势多头的
[00:32:22.700 --> 00:32:24.300]  周线在这里进行一个调整
[00:32:24.300 --> 00:32:26.700]  不管它怎么调有没有关系
[00:32:26.700 --> 00:32:27.700]  没有关系的
[00:32:27.700 --> 00:32:29.700]  它趋势是向上的明白我意思吧
[00:32:29.700 --> 00:32:32.000]  但我们说真正的加仓点在哪里呢
[00:32:32.000 --> 00:32:33.300]  这里周线条条条条
[00:32:33.300 --> 00:32:35.500]  完了之后出现一个周线的
[00:32:35.500 --> 00:32:36.700]  阳包阴
[00:32:36.700 --> 00:32:38.900]  你就赶紧加
[00:32:38.900 --> 00:32:41.400]  只要这里抽线不了周线的阳包阴
[00:32:41.400 --> 00:32:43.500]  那它还会继续什么
[00:32:43.500 --> 00:32:44.900]  继续调整
[00:32:44.900 --> 00:32:46.200]  大家能理解我的意思没有
[00:32:46.200 --> 00:32:47.400]  就我今天
[00:32:47.400 --> 00:32:50.100]  这半个多小时我就讲中长期
[00:32:50.100 --> 00:32:51.500]  一会我们就不讲中长期了
[00:32:51.500 --> 00:32:53.100]  就中长期不具备的
[00:32:53.100 --> 00:32:54.400]  我们就见尾
[00:32:54.400 --> 00:32:55.700]  大家能理解我的意思吧
[00:32:55.700 --> 00:32:57.400]  就像现在我们说的
[00:32:57.400 --> 00:32:59.100]  指数为什么跌不下去
[00:32:59.100 --> 00:33:01.100]  就是有这几个像银行
[00:33:01.100 --> 00:33:03.500]  石油电力这种高股息的
[00:33:03.500 --> 00:33:04.900]  对吧高分红的
[00:33:04.900 --> 00:33:06.400]  是它是会
[00:33:06.400 --> 00:33:08.500]  它对于上振指数是能够什么
[00:33:08.500 --> 00:33:12.300]  起到一个稳局的一个盘面的
[00:33:12.300 --> 00:33:14.100]  那如果说我们要说
[00:33:14.100 --> 00:33:15.900]  在这个里面去参与机会的话
[00:33:15.900 --> 00:33:16.700]  你也要明白
[00:33:16.700 --> 00:33:18.100]  你也要把握好节奏
[00:33:18.100 --> 00:33:18.800]  比如像石油
[00:33:18.800 --> 00:33:21.100]  我们上次是在这里说的
[00:33:21.100 --> 00:33:23.200]  三月份这个时候这里说的
[00:33:23.200 --> 00:33:25.300]  那么现在的话就是石油没有走坏
[00:33:25.300 --> 00:33:27.200]  它是一个很健康的一个调整
[00:33:27.200 --> 00:33:28.700]  那你也不要加仓
[00:33:28.700 --> 00:33:29.500]  有的朋友
[00:33:29.500 --> 00:33:30.000]  因为我说过
[00:33:30.000 --> 00:33:32.000]  你要用一年多的时间看待
[00:33:32.000 --> 00:33:32.700]  也不要加仓
[00:33:32.700 --> 00:33:34.800]  你的加仓原则是什么
[00:33:34.800 --> 00:33:35.500]  不低息吗
[00:33:35.500 --> 00:33:37.200]  我说的是不是不低息
[00:33:37.200 --> 00:33:40.000]  这个周限什么时候出现周限羊包音
[00:33:40.000 --> 00:33:41.300]  你就可以考虑加了
[00:33:41.300 --> 00:33:42.500]  没出现这个就不加
[00:33:42.500 --> 00:33:44.800]  这就是我们所讲的大周期向上
[00:33:44.800 --> 00:33:46.600]  小缩小一个周期
[00:33:46.600 --> 00:33:48.300]  我怎么把握中长期
[00:33:48.300 --> 00:33:50.300]  长期的趋势的一个布局思路
[00:33:50.300 --> 00:33:53.000]  那么反过来问大家一个问题
[00:33:53.000 --> 00:33:55.600]  没有中长期是不是压缩到中期
[00:33:55.600 --> 00:33:56.700]  中长期还要不要讲了
[00:33:56.700 --> 00:33:57.800]  不用讲了吧
[00:33:57.800 --> 00:33:58.800]  因为现在中长期少
[00:33:58.800 --> 00:34:00.600]  下次什么时候中长期要来的时候
[00:34:00.600 --> 00:34:02.000]  我们再组织聚会呗
[00:34:02.000 --> 00:34:04.400]  对吧在主攻中长期是不是这样
[00:34:04.400 --> 00:34:05.100]  好不好
[00:34:05.100 --> 00:34:06.400]  中长期大家都知道越险
[00:34:06.400 --> 00:34:09.000]  因为知识体系都是一样的
[00:34:09.000 --> 00:34:10.600]  你像这种中长期来了呢
[00:34:10.600 --> 00:34:11.700]  你像这个位置
[00:34:11.700 --> 00:34:13.200]  这个月三月份
[00:34:13.200 --> 00:34:15.400]  就是年后的这个这周就是一样的
[00:34:15.400 --> 00:34:17.200]  就是越险是属于趋势
[00:34:17.200 --> 00:34:18.800]  大家可以看到越险是不是趋势多头
[00:34:18.800 --> 00:34:20.400]  包括在这里也是一样的呢
[00:34:20.400 --> 00:34:22.300]  就不管你多大的盘子
[00:34:22.300 --> 00:34:24.300]  只要符合它就是会顺势而为
[00:34:24.300 --> 00:34:25.800]  这盘子大小涨幅不同
[00:34:25.800 --> 00:34:27.500]  涨幅方式不同而已啊
[00:34:27.500 --> 00:34:28.900]  那现在都是属于越险
[00:34:28.900 --> 00:34:30.000]  越险趋势向上
[00:34:30.000 --> 00:34:30.700]  我跟大家讲啊
[00:34:30.700 --> 00:34:33.000]  这个石油说不定就跟着这个
[00:34:33.000 --> 00:34:35.500]  三五年行情这么正道向上的跟你讲
[00:34:36.700 --> 00:34:38.400]  石油就是一个坑顶
[00:34:38.400 --> 00:34:41.100]  这里调整到位还是坑
[00:34:41.100 --> 00:34:43.400]  啊就是你们看不上是你们的事
[00:34:43.400 --> 00:34:44.900]  舍不得买是你们的事
[00:34:44.900 --> 00:34:45.700]  但是我告诉你
[00:34:45.700 --> 00:34:47.300]  这是一个中长期的行情
[00:34:47.300 --> 00:34:49.400]  甚至是长期趋势
[00:34:49.400 --> 00:34:50.600]  啊这是我的观点啊
[00:34:50.600 --> 00:34:52.600]  长期趋势
[00:34:52.600 --> 00:34:53.900]  哎呀它是走出来了
[00:34:53.900 --> 00:34:55.700]  你现在大家可以看一下
[00:34:55.700 --> 00:34:57.100]  它走的是一个什么
[00:34:57.100 --> 00:35:01.300]  哎嘿
[00:35:01.300 --> 00:35:04.600]  我们就从纪线的角度来讲
[00:35:04.600 --> 00:35:06.200]  它走的是一个纪线
[00:35:06.200 --> 00:35:07.500]  纪线是长期嘛
[00:35:07.500 --> 00:35:09.600]  三年以上的周期嘛
[00:35:09.600 --> 00:35:10.800]  你看这个熊
[00:35:10.800 --> 00:35:11.700]  纪线对吧
[00:35:11.700 --> 00:35:13.000]  反弹走不了模的
[00:35:13.000 --> 00:35:14.700]  因为它的势没有转变对不对
[00:35:14.700 --> 00:35:17.700]  这是个势转变角又跌下来了
[00:35:17.700 --> 00:35:19.200]  势就是在这里稳住
[00:35:19.200 --> 00:35:21.300]  但是阴性又把它破坏了对不对
[00:35:21.300 --> 00:35:22.300]  然后再来看
[00:35:22.300 --> 00:35:23.700]  这一段是越险转势
[00:35:23.700 --> 00:35:25.000]  所以说纪线不具备的
[00:35:25.000 --> 00:35:26.900]  想要小一个周期具备对不对
[00:35:26.900 --> 00:35:29.600]  但你看最近的这一段上涨
[00:35:29.600 --> 00:35:31.500]  就是前段时间
[00:35:31.500 --> 00:35:33.000]  去年的那一波上涨
[00:35:33.000 --> 00:35:35.100]  完成的是什么
[00:35:35.100 --> 00:35:39.000]  纪线从08年开始的纪线多头
[00:35:39.000 --> 00:35:40.200]  大家明白我的意思吧
[00:35:40.200 --> 00:35:42.200]  这种纪线多头不支撑走三年
[00:35:42.200 --> 00:35:43.100]  我不相信
[00:35:43.100 --> 00:35:44.300]  我说三年啊
[00:35:44.300 --> 00:35:46.700]  从这里开始
[00:35:46.700 --> 00:35:48.600]  不支撑走三年肯定不相信
[00:35:48.600 --> 00:35:50.700]  所以说如果我们确实啊
[00:35:50.700 --> 00:35:53.500]  就你的资金分配年实在不太那个了
[00:35:53.500 --> 00:35:55.500]  我一直介意就是理财资金的思维
[00:35:55.500 --> 00:35:57.800]  反正比你的银行利息要高的
[00:35:57.800 --> 00:35:58.600]  那么下一个的话
[00:35:58.600 --> 00:36:00.100]  就是周限调整到位
[00:36:00.100 --> 00:36:02.800]  在周限调整到位反过的时候在那个
[00:36:02.800 --> 00:36:04.000]  就是个思维
[00:36:04.000 --> 00:36:06.800]  如果已经在那边你就扛着不要管它
[00:36:06.800 --> 00:36:11.000]  就是我们所讲的势的力量
[00:36:11.000 --> 00:36:12.100]  然后
[00:36:12.100 --> 00:36:13.300]  然后这又这又个
[00:36:13.300 --> 00:36:14.400]  大家再来看一下
[00:36:14.400 --> 00:36:20.100]  这个增量资金是怎么样
[00:36:20.100 --> 00:36:21.800]  这就是我又回到了啊
[00:36:21.800 --> 00:36:23.100]  我又回到了这
[00:36:23.100 --> 00:36:25.600]  现在是不是回到了前高点
[00:36:25.600 --> 00:36:27.600]  如果这个前高点是压力
[00:36:27.600 --> 00:36:29.300]  上个月能够这么小小的
[00:36:29.300 --> 00:36:31.800]  这样就过的那个压力去接吗
[00:36:31.800 --> 00:36:32.400]  不可能
[00:36:32.400 --> 00:36:34.400]  那说明这里有压力吗
[00:36:34.400 --> 00:36:35.900]  没压力了
[00:36:35.900 --> 00:36:37.800]  大家能理解啊
[00:36:37.800 --> 00:36:39.700]  就是调整是会调整
[00:36:39.700 --> 00:36:42.500]  就是有压力它就可能转世了
[00:36:42.500 --> 00:36:45.300]  没有压力它就是多头调整
[00:36:45.300 --> 00:36:47.100]  调整完之后再继续什么
[00:36:47.100 --> 00:36:48.700]  向上
[00:36:48.700 --> 00:36:51.800]  这关于中长期的我就展开到这里了
[00:36:51.800 --> 00:36:54.200]  然后我们接下来就进入到的是中期
[00:36:54.200 --> 00:36:54.500]  对吧
[00:36:54.500 --> 00:36:55.900]  就是所有的机会
[00:36:55.900 --> 00:36:58.100]  只要中长期不符合你就看中期
[00:36:58.100 --> 00:36:58.800]  对吧
[00:36:58.800 --> 00:37:00.900]  中长期没有你像这种呢
[00:37:00.900 --> 00:37:02.000]  大家可以看到
[00:37:02.000 --> 00:37:03.700]  中长期是不是空头啊
[00:37:03.700 --> 00:37:05.300]  那就不具备你就看
[00:37:05.300 --> 00:37:07.300]  你就看什么你就看中期
[00:37:07.300 --> 00:37:08.500]  看中期你就看周线
[00:37:08.500 --> 00:37:11.500]  大家可以看看周线的一个走势
[00:37:11.500 --> 00:37:13.200]  周线的走势也是一样的
[00:37:13.200 --> 00:37:15.000]  那就是周K线的一个力量
[00:37:15.000 --> 00:37:17.100]  整个一直在空头过程中反弹
[00:37:17.100 --> 00:37:18.200]  空中反弹
[00:37:18.200 --> 00:37:19.400]  空中反弹
[00:37:19.400 --> 00:37:19.700]  对吧
[00:37:19.700 --> 00:37:21.200]  这也是空中反弹
[00:37:21.200 --> 00:37:22.800]  之后回调
[00:37:22.800 --> 00:37:23.100]  对吧
[00:37:23.100 --> 00:37:25.100]  回调完之后到这一根周K线
[00:37:25.100 --> 00:37:26.800]  你就现在看细节啊
[00:37:26.800 --> 00:37:27.600]  我讲是那么讲
[00:37:27.600 --> 00:37:29.300]  大家再看都不能再看细节啊
[00:37:29.300 --> 00:37:31.200]  就是收盘价值确认
[00:37:31.200 --> 00:37:33.500]  到了周收盘基本上它均线的
[00:37:33.500 --> 00:37:35.700]  势的变化就不会有了
[00:37:35.700 --> 00:37:37.300]  那像在这个细节的过程中
[00:37:37.300 --> 00:37:42.300]  你看大家又来回到了
[00:37:42.300 --> 00:37:44.800]  这个向上横盘也像一个小模型
[00:37:44.800 --> 00:37:47.300]  但是它的整个势是空头的
[00:37:47.300 --> 00:37:49.000]  所以是不可取的啊
[00:37:49.000 --> 00:37:50.700]  它会顺势而为向下的
[00:37:50.700 --> 00:37:51.600]  我们再来看这里
[00:37:51.600 --> 00:37:54.000]  这个过程中
[00:37:54.000 --> 00:37:56.000]  这根K线的扭转是不是把5和10
[00:37:56.000 --> 00:37:57.400]  带动向上呢
[00:37:57.400 --> 00:37:59.400]  然后我们现在需要的是什么
[00:37:59.400 --> 00:38:01.500]  能够5和10K线的向上
[00:38:01.500 --> 00:38:03.500]  能够把5和10带到20的上方
[00:38:03.500 --> 00:38:04.800]  代表着多头对不对
[00:38:04.800 --> 00:38:06.000]  如果你看大家可以看看
[00:38:06.000 --> 00:38:07.800]  为什么我这么强调这句话
[00:38:07.800 --> 00:38:10.100]  光是站上5和10
[00:38:10.100 --> 00:38:12.200]  上去就挨套
[00:38:12.200 --> 00:38:15.000]  因为它的大的势没有发生变化
[00:38:15.000 --> 00:38:16.700]  只有5和10把20带上了
[00:38:16.700 --> 00:38:19.000]  它才是什么下去还能上来
[00:38:19.000 --> 00:38:20.400]  才能受到保护啊
[00:38:20.400 --> 00:38:22.600]  好我们再来看回调回调
[00:38:22.600 --> 00:38:24.700]  对吧到这一根K线是不是5和10
[00:38:24.700 --> 00:38:26.400]  向要带动什么
[00:38:26.400 --> 00:38:27.300]  向上的
[00:38:27.300 --> 00:38:29.000]  那我想问大家一个问题就是
[00:38:29.000 --> 00:38:30.400]  我们所说的这里有没有
[00:38:30.400 --> 00:38:32.000]  当感觉要向上的过程
[00:38:32.000 --> 00:38:32.900]  这有没有结构
[00:38:32.900 --> 00:38:35.800]  有没有结构
[00:38:35.800 --> 00:38:38.600]  没有结构它就只能支撑小短线
[00:38:38.600 --> 00:38:41.900]  它就不具备我们所说的周线的中期
[00:38:41.900 --> 00:38:43.900]  这句话能理解我意思没有
[00:38:43.900 --> 00:38:45.400]  因为越往下小
[00:38:45.400 --> 00:38:48.000]  其实它的确定性是区别不同的
[00:38:48.000 --> 00:38:49.500]  你们延续刚才记一下
[00:38:49.500 --> 00:38:50.800]  越线我们讲到的
[00:38:50.800 --> 00:38:52.400]  当势转为多头的时候
[00:38:52.400 --> 00:38:54.800]  再回过来看有结构对不对
[00:38:54.800 --> 00:38:56.400]  那么反过来问大家问题
[00:38:56.400 --> 00:38:58.000]  当势走好了
[00:38:58.000 --> 00:39:00.900]  反过来看不出我教给你的结构
[00:39:00.900 --> 00:39:02.900]  就是一个要压缩级别的
[00:39:02.900 --> 00:39:04.400]  一个小波段小短线
[00:39:04.400 --> 00:39:07.200]  如果当势走出来了
[00:39:07.200 --> 00:39:09.700]  符合我教给你们的模型结构
[00:39:09.700 --> 00:39:11.500]  才可以按照这个模型结构
[00:39:11.500 --> 00:39:14.000]  定这个板块上行的级别
[00:39:14.000 --> 00:39:20.400]  那我们我们
[00:39:20.400 --> 00:39:23.300]  因为我除了明姐会辛苦点啊
[00:39:23.300 --> 00:39:25.000]  对你会辛苦点
[00:39:25.000 --> 00:39:27.200]  因为你因为他们都学过波段结构
[00:39:27.200 --> 00:39:30.000]  之前的课都上过两三年的
[00:39:30.000 --> 00:39:31.700]  你辛苦点你先记
[00:39:31.700 --> 00:39:33.200]  先磨先吸收
[00:39:33.200 --> 00:39:34.700]  对
[00:39:34.700 --> 00:39:38.200]  刚才那句话我再讲一次啊
[00:39:38.200 --> 00:39:39.700]  当势开始
[00:39:39.700 --> 00:39:41.500]  我说的势大家记住了啊
[00:39:41.500 --> 00:39:43.000]  是五合十
[00:39:43.000 --> 00:39:45.700]  带到了二十的上方
[00:39:45.700 --> 00:39:48.500]  我K线的价格把五合十带到二十的上方
[00:39:48.500 --> 00:39:51.000]  因为它所有的势的转变不是一天
[00:39:51.000 --> 00:39:53.800]  对吧它是一个过程
[00:39:53.800 --> 00:39:56.100]  对不对带到二十的上方
[00:39:56.100 --> 00:39:58.400]  反过来我们看结构
[00:39:58.400 --> 00:40:01.400]  没结构它就是一个小短线
[00:40:01.400 --> 00:40:04.400]  有结构我们就根据这里到这里的结构
[00:40:04.400 --> 00:40:06.200]  模型定级别
[00:40:06.200 --> 00:40:09.400]  才能看出它的持续性
[00:40:09.400 --> 00:40:11.400]  才能判断它的持续性
[00:40:11.400 --> 00:40:24.400]  我这次跟大家分享的好多都是第一次听
[00:40:25.700 --> 00:40:28.700]  你上次也没有讲了
[00:40:28.700 --> 00:40:31.700]  三天的课好讲开一点一点一点的
[00:40:31.700 --> 00:40:33.200]  复生课就是针对性的啊
[00:40:33.200 --> 00:40:34.700]  我再讲一次
[00:40:34.700 --> 00:40:37.700]  当我们的价格的走向
[00:40:37.700 --> 00:40:43.700]  把势由空头转为多头的那个节点呈现了
[00:40:43.700 --> 00:40:45.700]  往前看
[00:40:45.700 --> 00:40:48.700]  它是这些K线是怎么转的
[00:40:48.700 --> 00:40:50.700]  如果是转为多头之后
[00:40:50.700 --> 00:40:52.700]  这是不是从这个位置开始转的
[00:40:52.700 --> 00:40:54.700]  没有结构模型
[00:40:54.700 --> 00:40:58.700]  就我以前波段结构学院你们没有上过课的
[00:40:58.700 --> 00:41:00.700]  我一会儿画给大家好不好
[00:41:00.700 --> 00:41:02.700]  符合那几个波段模型的
[00:41:02.700 --> 00:41:04.700]  如果是你到这个节点
[00:41:04.700 --> 00:41:07.700]  从这个低点我们模型是从低点开始算的
[00:41:07.700 --> 00:41:08.700]  从突破的这个波段
[00:41:08.700 --> 00:41:09.700]  这是从突破的这个波段开始
[00:41:09.700 --> 00:41:11.700]  这个低点开始算的
[00:41:11.700 --> 00:41:12.700]  从这里到这里
[00:41:12.700 --> 00:41:14.700]  如果有模型
[00:41:14.700 --> 00:41:17.700]  那就是从这里到这里是多长时间
[00:41:17.700 --> 00:41:20.700]  我们模型是从扭转到启动前
[00:41:20.700 --> 00:41:23.700]  运行多长时间就代表着什么级别
[00:41:23.700 --> 00:41:25.700]  代表着未来会持续什么
[00:41:25.700 --> 00:41:26.700]  多久
[00:41:26.700 --> 00:41:27.700]  对吧
[00:41:27.700 --> 00:41:30.700]  这是我们之前跟大家分享过的知识对不对
[00:41:30.700 --> 00:41:32.700]  那么如果有模型这个位置起来
[00:41:32.700 --> 00:41:34.700]  这就是什么
[00:41:34.700 --> 00:41:36.700]  比如说这里到这里是一个30分级别
[00:41:36.700 --> 00:41:38.700]  那这里就有一个月的持续
[00:41:38.700 --> 00:41:39.700]  一个月的行情
[00:41:39.700 --> 00:41:41.700]  就是30分级别的行情对不对
[00:41:41.700 --> 00:41:42.700]  但是如果它转多的时候
[00:41:42.700 --> 00:41:46.700]  这里到这里不符合我教给你们的模型结构
